link_from,link_to,N
"1 Adjustable gastric banding", "2 Adjustable gastric banding",353
"1 Adjustable gastric banding", "2 Gastric bypass",3981
"1 Adjustable gastric banding", "2 Sleeve gastrectomy",5728
"1 Gastric bypass", "2 Adjustable gastric banding",106
"1 Gastric bypass", "2 Gastric bypass",611
"1 Gastric bypass", "2 Sleeve gastrectomy",154
"1 Sleeve gastrectomy", "2 Adjustable gastric banding",21
"1 Sleeve gastrectomy", "2 Gastric bypass",3668
"1 Sleeve gastrectomy", "2 Sleeve gastrectomy",790
"2 Adjustable gastric banding", "3 Adjustable gastric banding",4
"2 Adjustable gastric banding", "3 Gastric bypass",64
"2 Adjustable gastric banding", "3 Sleeve gastrectomy",97
"2 Gastric bypass", "3 Adjustable gastric banding",40
"2 Gastric bypass", "3 Gastric bypass",144
"2 Gastric bypass", "3 Sleeve gastrectomy",19
"2 Sleeve gastrectomy", "3 Adjustable gastric banding",6
"2 Sleeve gastrectomy", "3 Gastric bypass",551
"2 Sleeve gastrectomy", "3 Sleeve gastrectomy",120
"3 Adjustable gastric banding", "4 Adjustable gastric banding",1
"3 Adjustable gastric banding", "4 Gastric bypass",3
"3 Adjustable gastric banding", "4 Sleeve gastrectomy",3
"3 Gastric bypass", "4 Adjustable gastric banding",4
"3 Gastric bypass", "4 Gastric bypass",14
"3 Gastric bypass", "4 Sleeve gastrectomy",3
"3 Sleeve gastrectomy", "4 Adjustable gastric banding",2
"3 Sleeve gastrectomy", "4 Gastric bypass",27
"3 Sleeve gastrectomy", "4 Sleeve gastrectomy",3
"4 Gastric bypass", "5 Gastric bypass",1
