Dpt,type_hospitUM,finess,rs,n
60,HP,800000051,CH DE CORBIE,14
60,HP,940016819,LES HÔPITAUX DE SAINT-MAURICE,14
95,HP,940016819,LES HÔPITAUX DE SAINT-MAURICE,11
59,HP,590782611,CENTRE DE RÉADAPTATION FONCTIONNELLE MARC SAUTELET VILLENEUVE D'ASCQ,6
60,HC,800000051,CH DE CORBIE,6
93,HP,940016819,LES HÔPITAUX DE SAINT-MAURICE,5
95,HP,950110049,CH DE GONESSE,4
76,HP,140027681,CMPR LA CLAIRIERE - HEROUVILLE STCLAIR,3
77,HP,940016819,LES HÔPITAUX DE SAINT-MAURICE,3
80,HP,800000051,CH DE CORBIE,3
95,HC,930021431,SSR PEDIATRIQUES EPABR MONTREUIL II,3
08,HC,940016819,LES HÔPITAUX DE SAINT-MAURICE,2
08,HP,510000029,CHR DE REIMS,2
08,HP,940016819,LES HÔPITAUX DE SAINT-MAURICE,2
22,HP,290000827,CHM DE ROSCOFF SITE DE TY-YANN,2
27,HC,760781054,CENTRE SSR ASSOCIATION LADAPT HAUTE NORMANDIE,2
27,HP,760781054,CENTRE SSR ASSOCIATION LADAPT HAUTE NORMANDIE,2
33,HC,640780904,LE NID BEARNAIS - SSR PEDIATRIQUE,2
33,HP,330781196,CHU DE BORDEAUX,2
33,HP,640780904,LE NID BEARNAIS - SSR PEDIATRIQUE,2
60,HC,770701225,CRRF LE BRASSET,2
60,HC,930021431,SSR PEDIATRIQUES EPABR MONTREUIL II,2
60,HC,940700040,CRF,2
62,HP,590782611,CENTRE DE RÉADAPTATION FONCTIONNELLE MARC SAUTELET VILLENEUVE D'ASCQ,2
94,HP,940016819,LES HÔPITAUX DE SAINT-MAURICE,2
95,HC,770000420,CRF ELLEN POIDATZ,2
95,HC,940700040,CRF,2
95,HP,760781054,CENTRE SSR ASSOCIATION LADAPT HAUTE NORMANDIE,2
95,HP,930021431,SSR PEDIATRIQUES EPABR MONTREUIL II,2
01,HC,690000427,CENTRE MÉDICO-CHIRURGICAL ET DE RÉÉDAPTATIION DES MASSUES,1
01,HP,690000427,CENTRE MÉDICO-CHIRURGICAL ET DE RÉÉDAPTATIION DES MASSUES,1
02,HC,800000051,CH DE CORBIE,1
02,HP,800000051,CH DE CORBIE,1
02,HP,940016819,LES HÔPITAUX DE SAINT-MAURICE,1
03,HP,630781755,CENTRE MÉDICAL INFANTILE DE ROMAGNAT,1
27,HP,270000912,HÔPITAL LA MUSSE,1
27,HP,400780482,CLINIQUE MONTPRIBAT,1
59,HP,590785424,CENTRE D'ADAPTATION DE L'ENFANCE INFIRME CAMBRAI,1
60,HC,590785424,CENTRE D'ADAPTATION DE L'ENFANCE INFIRME CAMBRAI,1
60,HC,920700010,CENTRE ELISABETH DE LA PANOUSE,1
60,HP,770000420,CRF ELLEN POIDATZ,1
60,HP,920700010,CENTRE ELISABETH DE LA PANOUSE,1
60,HP,930021431,SSR PEDIATRIQUES EPABR MONTREUIL II,1
67,HP,670780121,UGECAM-C.R.F. CLEMENCEAU STRASBOURG,1
75,HC,770701225,CRRF LE BRASSET,1
75,HC,780630026,CENTRE PEDIATRIQUE DES COTES,1
75,HP,770150027,CLINIQUE FSEF NEUFMOUTIERS EN BRIE,1
75,HP,940016819,LES HÔPITAUX DE SAINT-MAURICE,1
76,HP,760781054,CENTRE SSR ASSOCIATION LADAPT HAUTE NORMANDIE,1
77,HC,600100671,CRF LE BELLOY,1
78,HP,750712184,AP-HP,1
80,HC,800000051,CH DE CORBIE,1
89,HC,770150027,CLINIQUE FSEF NEUFMOUTIERS EN BRIE,1
89,HP,770150027,CLINIQUE FSEF NEUFMOUTIERS EN BRIE,1
93,HC,770000420,CRF ELLEN POIDATZ,1
93,HC,940016819,LES HÔPITAUX DE SAINT-MAURICE,1
94,HC,940016819,LES HÔPITAUX DE SAINT-MAURICE,1
94,HC,940700040,CRF,1
95,HC,060780558,CLINIQUE FSEF VENCE,1
95,HC,750150252,CLINIQUE EDOUARD RIST,1
95,HC,770701225,CRRF LE BRASSET,1
95,HC,940016819,LES HÔPITAUX DE SAINT-MAURICE,1
95,HP,750712184,AP-HP,1
97,HC,940016819,LES HÔPITAUX DE SAINT-MAURICE,1
97,HC,940700040,CRF,1
97,HC,970100228,CHU DE LA GUADELOUPE,1
97,HP,940016819,LES HÔPITAUX DE SAINT-MAURICE,1
97,HP,970100228,CHU DE LA GUADELOUPE,1
