finess,rs,type_hospitUM,n
940016819,LES HÔPITAUX DE SAINT-MAURICE,HP,40
800000051,CH DE CORBIE,HP,18
590782611,CENTRE DE RÉADAPTATION FONCTIONNELLE MARC SAUTELET VILLENEUVE D'ASCQ,HP,8
800000051,CH DE CORBIE,HC,8
940016819,LES HÔPITAUX DE SAINT-MAURICE,HC,6
940700040,CRF,HC,6
760781054,CENTRE SSR ASSOCIATION LADAPT HAUTE NORMANDIE,HP,5
930021431,SSR PEDIATRIQUES EPABR MONTREUIL II,HC,5
770701225,CRRF LE BRASSET,HC,4
950110049,CH DE GONESSE,HP,4
140027681,CMPR LA CLAIRIERE - HEROUVILLE STCLAIR,HP,3
770000420,CRF ELLEN POIDATZ,HC,3
930021431,SSR PEDIATRIQUES EPABR MONTREUIL II,HP,3
290000827,CHM DE ROSCOFF SITE DE TY-YANN,HP,2
330781196,CHU DE BORDEAUX,HP,2
510000029,CHR DE REIMS,HP,2
640780904,LE NID BEARNAIS - SSR PEDIATRIQUE,HC,2
640780904,LE NID BEARNAIS - SSR PEDIATRIQUE,HP,2
750712184,AP-HP,HP,2
760781054,CENTRE SSR ASSOCIATION LADAPT HAUTE NORMANDIE,HC,2
770150027,CLINIQUE FSEF NEUFMOUTIERS EN BRIE,HP,2
060780558,CLINIQUE FSEF VENCE,HC,1
270000912,HÔPITAL LA MUSSE,HP,1
400780482,CLINIQUE MONTPRIBAT,HP,1
590785424,CENTRE D'ADAPTATION DE L'ENFANCE INFIRME CAMBRAI,HC,1
590785424,CENTRE D'ADAPTATION DE L'ENFANCE INFIRME CAMBRAI,HP,1
600100671,CRF LE BELLOY,HC,1
630781755,CENTRE MÉDICAL INFANTILE DE ROMAGNAT,HP,1
670780121,UGECAM-C.R.F. CLEMENCEAU STRASBOURG,HP,1
690000427,CENTRE MÉDICO-CHIRURGICAL ET DE RÉÉDAPTATIION DES MASSUES,HC,1
690000427,CENTRE MÉDICO-CHIRURGICAL ET DE RÉÉDAPTATIION DES MASSUES,HP,1
750150252,CLINIQUE EDOUARD RIST,HC,1
770000420,CRF ELLEN POIDATZ,HP,1
770150027,CLINIQUE FSEF NEUFMOUTIERS EN BRIE,HC,1
780630026,CENTRE PEDIATRIQUE DES COTES,HC,1
920700010,CENTRE ELISABETH DE LA PANOUSE,HC,1
920700010,CENTRE ELISABETH DE LA PANOUSE,HP,1
970100228,CHU DE LA GUADELOUPE,HC,1
970100228,CHU DE LA GUADELOUPE,HP,1
