"champ";"statut";"annee";"periode";"date du resultat";"ipe";cage;COUNT;PERCENT;countm;percentm;countf;percentf;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:13";="020000022";3;1;0.4329004329;1;0.9523809524;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:13";="020000022";4;14;6.0606060606;8;7.619047619;6;4.7619047619;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:13";="020000022";5;63;27.272727273;29;27.619047619;34;26.984126984;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:13";="020000022";6;74;32.034632035;35;33.333333333;39;30.952380952;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:13";="020000022";7;79;34.199134199;32;30.476190476;47;37.301587302;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:19";="590048476";3;10;0.8992805755;7;1.3833992095;3;0.495049505;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:19";="590048476";4;49;4.4064748201;27;5.3359683794;22;3.6303630363;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:19";="590048476";5;144;12.949640288;79;15.612648221;65;10.726072607;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:19";="590048476";6;320;28.776978417;177;34.980237154;143;23.597359736;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:19";="590048476";7;589;52.967625899;216;42.687747036;373;61.551155116;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:08";="590780193";0;76;3.1096563011;44;5.1764705882;32;2.0075282309;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:08";="590780193";1;56;2.2913256956;26;3.0588235294;30;1.8820577164;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:08";="590780193";2;17;0.6955810147;9;1.0588235294;8;0.5018820577;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:08";="590780193";3;126;5.1554828151;52;6.1176470588;74;4.6424090339;2022.11;X590780193;30DEC22;11:03:01
