"champ";"statut";"annee";"periode";"date du resultat";"ipe";dmpp;N;nbj;pctj;nbsej;nbj2;pctcum;code;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";C79;16;288;11.085450346;4;7;11.085450346;C79;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";G95;14;252;9.6997690531;2;0;20.7852194;G95;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";R54;12;213;8.1986143187;3;0;28.983833718;R54;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";U07;8;207;7.9676674365;1;0;36.951501155;U07;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";C50;7;133;5.1193225558;2;7;42.070823711;C50;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";G12;6;110;4.234026174;2;0;46.304849885;G12;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";Z89;4;91;3.5026943803;1;0;49.807544265;Z89;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";I70;3;82;3.156274057;1;0;52.963818322;I70;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";N04;4;70;2.6943802925;1;0;55.658198614;N04;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";Z43;5;54;2.07852194;2;10;57.736720554;Z43;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";T81;3;52;2.0015396459;3;10;59.7382602;T81;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";I31;3;50;1.9245573518;1;0;61.662817552;I31;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";G31;3;43;1.6551193226;1;0;63.317936875;G31;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";Z51;3;43;1.6551193226;2;0;64.973056197;Z51;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";F01;2;42;1.6166281755;1;0;66.589684373;F01;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";C67;4;39;1.5011547344;3;0;68.090839107;C67;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";C77;2;37;1.4241724403;1;0;69.515011547;C77;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";K56;4;36;1.3856812933;1;0;70.900692841;K56;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";S91;2;35;1.3471901463;1;0;72.247882987;S91;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";Z46;3;35;1.3471901463;1;0;73.595073133;Z46;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";L89;3;34;1.3086989992;1;0;74.903772132;L89;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";T85;2;34;1.3086989992;1;0;76.212471132;T85;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";C78;6;33;1.2702078522;4;0;77.482678984;C78;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";C25;3;31;1.1932255581;3;0;78.675904542;C25;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";I63;2;30;1.1547344111;1;0;79.830638953;I63;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";80%;122;2057;;40;17;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";Tot;156;2390;;63;51;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";R53;228;1908;6.8717136066;135;1848;6.8717136066;R53;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";R52;303;1606;5.7840524382;199;972;12.655766045;R52;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";R26;184;1586;5.7120218973;103;1405;18.367787942;R26;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";L97;79;1217;4.3830584168;33;610;22.750846359;L97;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";E43;103;1152;4.1489591587;53;718;26.899805518;E43;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";L89;79;1033;3.72037744;41;600;30.620182958;L89;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";C34;95;916;3.2989987755;48;454;33.919181733;C34;2022.11;X590048476;30DEC22;15:37:12
