"champ";"statut";"annee";"periode";"date du resultat";"ipe";diagp1;N;nbj;pctj;nbsej;pctcum;code;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:18";="020000022";L89;34;760;7.7282896075;9;7.7282896075;L89;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:18";="020000022";C50;52;718;7.3011999186;10;15.029489526;C50;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:18";="020000022";G12;28;647;6.5792149685;4;21.608704495;G12;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:18";="020000022";C79;31;494;5.0233882449;5;26.632092739;C79;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:18";="020000022";G35;19;372;3.7827943868;6;30.414887126;G35;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:18";="020000022";I63;20;345;3.5082367297;9;33.923123856;I63;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:18";="020000022";R54;23;322;3.2743542811;6;37.197478137;R54;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:18";="020000022";C43;35;321;3.264185479;2;40.461663616;C43;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:18";="020000022";G95;18;308;3.1319910515;4;43.593654667;G95;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:18";="020000022";D32;17;300;3.0506406345;4;46.644295302;D32;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:18";="020000022";C78;42;288;2.9286150092;7;49.572910311;C78;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:18";="020000022";S72;24;284;2.8879398007;4;52.460850112;S72;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:18";="020000022";C34;17;272;2.7659141753;6;55.226764287;C34;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:18";="020000022";C45;9;247;2.5116941224;1;57.73845841;C45;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:18";="020000022";U07;11;242;2.4608501119;2;60.199308521;U07;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:18";="020000022";S31;10;237;2.4100061013;1;62.609314623;S31;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:18";="020000022";I70;14;212;2.1557860484;6;64.765100671;I70;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:18";="020000022";C77;29;199;2.0235916209;1;66.788692292;C77;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:18";="020000022";L97;9;173;1.7592027659;4;68.547895058;L97;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:18";="020000022";I67;7;158;1.6066707342;1;70.154565792;I67;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:18";="020000022";I11;6;130;1.321944275;1;71.476510067;I11;2022.11;X020000022;27DEC22;13:05:07
