"champ";"statut";"annee";"periode";"date du resultat";"ipe";diags;nbsej_diagp;nbseq_diagp;nbj_diagp;nbsej_dmpp;nbseq_dmpp;nbj_dmpp;nbsej_dmpa;nbseq_dmpa;nbj_dmpa;nbsej_das;nbseq_das;nbj_das;i;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:28";="020000022";U0710;2;3;242;1;1;207;0;0;0;2;3;54;13;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:28";="020000022";U0713;0;0;0;0;0;0;0;0;0;1;1;334;13;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:28";="020000022";U0714;0;0;0;0;0;0;0;0;0;9;32;332;13;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:40";="590048476";U0710;11;17;317;13;19;440;6;8;41;0;0;0;13;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:40";="590048476";U0712;0;0;0;0;0;0;0;0;0;1;1;7;13;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:40";="590048476";U0714;11;13;207;2;2;23;0;0;0;0;0;0;13;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:40";="590048476";U0715;1;1;2;0;0;0;0;0;0;0;0;0;13;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:25";="590780193";U0710;2;3;89;0;0;0;0;0;0;1;1;21;13;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:25";="590780193";U0712;0;0;0;0;0;0;0;0;0;5;5;5;13;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:25";="590780193";U0714;0;0;0;0;0;0;2;2;10;11;11;11;13;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:22";="590782652";U0710;13;24;208;2;8;143;18;36;388;5;9;73;13;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:22";="590782652";U0712;0;0;0;0;0;0;0;0;0;4;6;109;13;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:22";="590782652";U0714;1;1;31;0;0;0;0;0;0;2;3;55;13;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:35";="600100713";U0710;16;22;283;2;2;8;6;6;39;1;1;11;13;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:35";="600100713";U0712;2;2;18;0;0;0;1;1;11;5;7;93;13;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:22:47";="600100721";U0710;3;3;77;1;1;2;2;3;26;2;2;38;13;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:47";="600100721";U0712;0;0;0;1;1;11;2;2;26;6;6;98;13;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:32";="800000028";U0710;2;2;11;4;4;49;0;0;0;0;0;0;13;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:32";="800000028";U0714;0;0;0;1;1;11;1;2;15;0;0;0;13;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:26";="800000036";U0710;7;8;51;7;8;51;3;3;27;0;0;0;13;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:26";="800000036";U0711;1;1;13;1;1;13;0;0;0;0;0;0;13;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:26";="800000036";U0712;7;7;56;7;7;56;0;0;0;0;0;0;13;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:26";="800000036";U0714;5;5;46;5;5;47;5;5;48;2;3;79;13;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:32";="800000069";U0710;1;1;8;1;1;7;2;2;4;1;2;22;13;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:32";="800000069";U0712;0;0;0;0;0;0;1;1;35;7;11;132;13;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:32";="800000069";U0713;0;0;0;0;0;0;0;0;0;8;8;168;13;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:32";="800000069";U0714;3;3;36;0;0;0;2;2;13;8;9;214;13;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/26 10:01:43";="800000077";U0710;3;3;40;5;5;57;0;0;0;0;0;0;13;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:43";="800000077";U0712;1;1;2;1;1;2;0;0;0;0;0;0;13;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:43";="800000077";U0714;2;2;17;2;2;17;1;1;3;0;0;0;13;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/28 15:59:35";="800000085";U0710;5;7;73;7;10;109;1;1;8;0;0;0;13;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/27 14:51:36";="800000093";U0710;11;12;119;13;14;163;3;3;32;0;0;0;13;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:36";="800000093";U0711;1;1;13;1;1;13;0;0;0;0;0;0;13;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:36";="800000093";U0712;1;1;7;1;1;7;0;0;0;0;0;0;13;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:36";="800000093";U0714;24;26;255;25;27;277;4;4;49;0;0;0;13;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:27";="800000523";U0710;22;33;1133;49;63;2056;6;7;207;0;0;0;13;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:27";="800000523";U0712;0;0;0;0;0;0;0;0;0;1;3;267;13;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:27";="800000523";U0713;0;0;0;1;2;10;0;0;0;0;0;0;13;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:27";="800000523";U0714;6;8;229;10;12;378;0;0;0;2;5;326;13;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:27";="800000523";U0715;0;0;0;0;0;0;0;0;0;1;6;334;13;2022.11;X800000523;22DEC22;10:53:02
