"champ";"statut";"annee";"periode";"date du resultat";"ipe";mpcp;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;mpcacodm;nbcim;nbsej;nbsejc;dms;pctcum;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:28";="020000022";08;11;3;242;100;30;12.194214876;4.2892561983;96.429752066;100;1;2;1;35;100;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:28";="020000022";;;;;;;;;;;0;;;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:28";="020000022";99;11;3;242;;30;12.194214876;4.2892561983;96.429752066;100;1;2;1;35;100;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:40";="590048476";04;31;19;426;80.988593156;40;14.776995305;4.2417840376;85.354460094;86.384976526;3;12;10;22.6;80.988593156;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:40";="590048476";09;4;2;32;6.0836501901;40;14.75;4.125;87.75;100;2;2;2;16;87.072243346;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:40";="590048476";07;8;7;27;5.1330798479;20;16;7.037037037;91.481481481;100;2;6;6;4.5;92.205323194;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:40";="590048476";06;2;1;17;3.2319391635;50;14;3;78;100;1;1;1;17;95.437262357;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:40";="590048476";03;1;1;15;2.8517110266;60;15;4;93;0;1;1;1;15;98.288973384;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:40";="590048476";14;1;1;9;1.711026616;30;16;6;75;100;1;1;1;9;100;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:40";="590048476";;;;;;;;;;;0;;;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:40";="590048476";99;47;31;526;;40;14.840304183;4.36121673;85.617870722;91.489361702;3;23;21;15.523809524;100;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:25";="590780193";01;3;1;64;71.91011236;30;15;4;61;100;1;1;;;71.91011236;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:25";="590780193";03;2;2;25;28.08988764;30;14.44;4;63.36;100;1;2;1;14;100;2022.11;X590780193;30DEC22;11:03:01
