"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghpcp;ikmin;ikmax;N;nbseq;nbj;pctcum;nbsej;nbsejc;dms;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:29";="020000022";Tous;20;30;11;3;242;100;2;0;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:41";="590048476";Tous;10;60;47;31;526;100;23;18;8.8888888889;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:25";="590780193";Tous;30;30;5;3;89;100;2;1;14;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:23";="590782652";Tous;10;90;33;25;239;100;14;6;8;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:36";="600100713";Tous;20;70;24;24;301;100;18;11;11.727272727;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:22:48";="600100721";Tous;30;40;5;3;77;100;3;3;25.666666667;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:33";="800000028";Tous;10;40;3;2;11;100;2;2;5.5;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:26";="800000036";Tous;20;70;23;21;166;100;20;19;8.5263157895;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:33";="800000069";Tous;30;50;5;4;44;100;4;4;11;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/26 10:01:43";="800000077";Tous;30;50;7;6;59;100;6;6;9.8333333333;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/28 15:59:36";="800000085";Tous;10;50;9;7;73;100;5;4;14.5;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/27 14:51:37";="800000093";Tous;10;60;55;40;394;100;37;34;9.6470588235;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:28";="800000523";Tous;10;40;78;41;1362;100;28;16;31.1875;2022.11;X800000523;22DEC22;10:53:02
