"champ";"statut";"annee";"periode";"date du resultat";"ipe";das;N;nbj;pctj;nbsej;nbj2;pctcum;code;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";Z71;420;4524;4.4499090149;113;4524;4.4499090149;Z71;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";I10;276;3557;3.4987458811;71;3557;7.948654896;I10;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";R53;187;3337;3.282348891;40;3337;11.231003787;R53;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";R26;205;3092;3.0413613338;67;3092;14.272365121;R26;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";R52;287;3086;3.0354595977;95;3086;17.307824718;R52;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";Z51;194;2855;2.8082427581;62;2855;20.116067477;Z51;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";L89;202;2833;2.7866030591;63;2833;22.902670536;L89;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";Z46;173;2616;2.573156937;42;2616;25.475827473;Z46;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";F41;246;2526;2.4846308956;84;2526;27.960458368;F41;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";Z96;183;2029;1.9957704225;43;2029;29.956228791;Z96;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";E43;150;1805;1.7754389416;44;1805;31.731667732;E43;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";Z63;117;1775;1.7459302612;26;1775;33.477597993;Z63;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";Z29;125;1743;1.7144543353;37;1743;35.192052329;Z29;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";R50;140;1696;1.6682240692;32;1696;36.860276398;R50;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";E86;103;1521;1.4960900998;24;1521;38.356366498;E86;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";C78;86;1517;1.4921556091;23;1517;39.848522107;C78;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";Z99;107;1375;1.3524811882;43;1375;41.201003295;Z99;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";Z11;98;1366;1.3436285841;16;1366;42.544631879;Z11;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";R15;99;1206;1.1862489549;35;1206;43.730880834;R15;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";E11;104;1189;1.1695273693;51;1189;44.900408203;E11;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";I48;80;1156;1.1370678208;27;1156;46.037476024;I48;2022.11;X020000022;27DEC22;13:05:07
