"champ";"statut";"annee";"periode";"date du resultat";"ipe";dg;lib_diag;nb_pat;nbsej;nbseq;dms;age_moy;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z5500;Analphabétisme et illettrisme;1;1;1;56;55;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z5508;Faibles niveaux éducatifs, autres et sans précision;1;1;1;56;55;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z551;Scolarisation inexistante ou inaccessible;0;0;0;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z565;Mauvais adaptation au travail;0;0;0;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z590;Sans abri;0;0;0;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z5910;Logement insalubre ou impropre à l'habitation;1;1;1;56;55;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z5911;Logement sans confort;1;1;1;16;56;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z5912;Logement inadéquat du fait de l'état de santé de la personne;0;0;0;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z5913;Logement en habitat temporaire ou de fortune;0;0;0;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z5950;Absence totale de revenu, d'aide et de prestation financière;0;0;0;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z5958;Situation de pauvreté extrême, autres et sans précision;0;0;0;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z5960;Bénéficiaire de la CMUc;5;15;24;4.9333333333;63.2;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z5961;Bénéficiaire de l'AME;0;0;0;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z5962;Bénéficiaire de minima sociaux;0;0;0;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z5968;Faibles revenus, autres et non précisés;0;0;0;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z5970;Absence de couverture sociale;0;0;0;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z5978;Couverture sociale et secours insuffisants, autres et non précisés;0;0;0;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z6020;Personne vivant seule à son domicile;9;10;26;43.1;74.444444444;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z6030;Difficultés liées à la langue;1;1;1;10;94;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z6038;Difficultés d'acculturation, autres et non précisées;0;0;0;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z604;Exclusion et rejet sociaux;1;1;1;56;55;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z605;Cible d'une discrimination et d'une persécution;0;0;0;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z620;Surveillance inadéquate de la part des parents;0;0;0;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z634;Disparition et décès d'un membre de la famille;7;7;39;32.428571429;75.571428571;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z635;Dislocation de la famille par séparation et divorce;1;1;1;27;51;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z637;Difficultés liées au fait d'avoir un parent à charge au domicile, nécessitant des soins;0;0;0;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z653;Difficultés liées à d'autres situations juridiques;0;0;0;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z742;Besoin d'assistance à domicile, aucun autre membre du foyer n'étant capable d'assurer les soins;9;29;30;18.896551724;67.666666667;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z750;Absence de services médicaux à domicile;0;0;0;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z751;Sujet attendant d'être admis ailleurs, dans un établissement adéquat;2;2;9;126.5;87;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:26";="020000022";Z754;Autres organisations d'aide non disponibles et non accessibles;0;0;0;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z5500;Analphabétisme et illettrisme;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z5508;Faibles niveaux éducatifs, autres et sans précision;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z551;Scolarisation inexistante ou inaccessible;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z565;Mauvais adaptation au travail;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z590;Sans abri;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z5910;Logement insalubre ou impropre à l'habitation;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z5911;Logement sans confort;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z5912;Logement inadéquat du fait de l'état de santé de la personne;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z5913;Logement en habitat temporaire ou de fortune;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z5950;Absence totale de revenu, d'aide et de prestation financière;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z5958;Situation de pauvreté extrême, autres et sans précision;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z5960;Bénéficiaire de la CMUc;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z5961;Bénéficiaire de l'AME;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z5962;Bénéficiaire de minima sociaux;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z5968;Faibles revenus, autres et non précisés;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z5970;Absence de couverture sociale;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z5978;Couverture sociale et secours insuffisants, autres et non précisés;1;1;1;81;80;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z6020;Personne vivant seule à son domicile;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z6030;Difficultés liées à la langue;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z6038;Difficultés d'acculturation, autres et non précisées;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z604;Exclusion et rejet sociaux;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z605;Cible d'une discrimination et d'une persécution;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z620;Surveillance inadéquate de la part des parents;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z634;Disparition et décès d'un membre de la famille;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z635;Dislocation de la famille par séparation et divorce;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z637;Difficultés liées au fait d'avoir un parent à charge au domicile, nécessitant des soins;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z653;Difficultés liées à d'autres situations juridiques;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z742;Besoin d'assistance à domicile, aucun autre membre du foyer n'étant capable d'assurer les soins;1;1;2;27;63;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z750;Absence de services médicaux à domicile;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z751;Sujet attendant d'être admis ailleurs, dans un établissement adéquat;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:38";="590048476";Z754;Autres organisations d'aide non disponibles et non accessibles;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z5500;Analphabétisme et illettrisme;0;0;0;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z5508;Faibles niveaux éducatifs, autres et sans précision;0;0;0;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z551;Scolarisation inexistante ou inaccessible;0;0;0;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z565;Mauvais adaptation au travail;0;0;0;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z590;Sans abri;0;0;0;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z5910;Logement insalubre ou impropre à l'habitation;0;0;0;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z5911;Logement sans confort;0;0;0;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z5912;Logement inadéquat du fait de l'état de santé de la personne;0;0;0;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z5913;Logement en habitat temporaire ou de fortune;0;0;0;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z5950;Absence totale de revenu, d'aide et de prestation financière;0;0;0;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z5958;Situation de pauvreté extrême, autres et sans précision;0;0;0;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z5960;Bénéficiaire de la CMUc;0;0;0;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z5961;Bénéficiaire de l'AME;0;0;0;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z5962;Bénéficiaire de minima sociaux;0;0;0;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z5968;Faibles revenus, autres et non précisés;0;0;0;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z5970;Absence de couverture sociale;0;0;0;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z5978;Couverture sociale et secours insuffisants, autres et non précisés;1;1;2;8;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z6020;Personne vivant seule à son domicile;2;3;4;18.666666667;72.5;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z6030;Difficultés liées à la langue;1;3;3;6.3333333333;5;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z6038;Difficultés d'acculturation, autres et non précisées;0;0;0;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z604;Exclusion et rejet sociaux;8;9;10;14;26.5;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z605;Cible d'une discrimination et d'une persécution;0;0;0;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z620;Surveillance inadéquate de la part des parents;0;0;0;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z634;Disparition et décès d'un membre de la famille;0;0;0;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z635;Dislocation de la famille par séparation et divorce;0;0;0;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z637;Difficultés liées au fait d'avoir un parent à charge au domicile, nécessitant des soins;1;1;1;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:23";="590780193";Z653;Difficultés liées à d'autres situations juridiques;0;0;0;;;2022.11;X590780193;30DEC22;11:03:01
