"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghpcp;mpcp;mpca;ikmin;ikmax;N;nbseq;nbj;pctj;nbsej;nbsejc;dms;pctcum;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";1013;09;00;40;40;37;6;989;10.056945292;6;3;42;10.056945292;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";0417;04;09;30;30;31;13;546;5.5521659549;11;2;76;15.609111247;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";1577;14;11;40;40;27;10;503;5.1149074639;10;5;27.8;20.724018711;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";0404;04;06;10;20;18;7;382;3.884482408;6;3;15.333333333;24.608501119;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";0403;04;06;30;30;24;14;331;3.3658735001;14;8;30;27.974374619;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";1010;09;00;70;80;17;8;317;3.2235102705;8;7;45.142857143;31.197884889;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";2147;14;11;30;30;21;11;306;3.1116534472;7;1;6;34.309538336;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";0368;04;00;30;30;18;11;293;2.9794590197;10;1;3;37.288997356;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";0375;04;01;30;30;23;13;257;2.6133821436;12;2;22.5;39.9023795;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";1146;10;00;50;50;17;11;253;2.5727069351;10;4;35;42.475086435;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";0416;04;09;40;40;13;4;249;2.5320317267;4;1;18;45.007118161;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";0367;04;00;40;40;18;13;242;2.4608501119;6;1;3;47.467968273;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";0885;08;01;30;30;10;2;238;2.4201749034;2;;;49.888143177;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";0680;06;14;20;20;12;4;237;2.4100061013;4;2;63;52.298149278;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";2123;14;00;30;30;9;4;208;2.1151108399;3;;;54.413260118;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";0369;04;00;10;20;15;7;204;2.0744356315;7;2;5;56.487695749;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";1018;09;01;40;40;17;10;200;2.033760423;1;;;58.521456172;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";0418;04;09;10;20;22;18;187;1.9015659955;14;7;9.2857142857;60.423022168;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";0431;04;11;30;30;8;4;186;1.8913971934;4;;;62.314419361;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";1084;09;14;40;40;7;1;186;1.8913971934;1;;;64.205816555;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";2127;14;01;30;30;11;6;162;1.6473459426;5;;;65.853162497;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";0679;06;14;30;30;8;3;160;1.6270083384;3;1;3;67.480170836;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";0376;04;01;10;20;20;18;151;1.5354891194;13;2;3;69.015659955;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";2126;14;01;40;40;7;3;141;1.4338010982;2;;;70.449461053;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";0380;04;02;50;50;8;3;135;1.3727882855;2;;;71.822249339;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";1012;09;00;50;50;14;9;135;1.3727882855;7;1;10;73.195037625;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";0374;04;01;40;40;8;5;122;1.240593858;4;;;74.435631483;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";2149;14;12;30;30;14;10;122;1.240593858;2;;;75.676225341;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";1217;10;14;40;40;6;4;103;1.0473866179;4;3;33.333333333;76.723611959;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";1144;10;00;70;70;8;5;90;0.9151921904;5;4;22.25;77.638804149;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";0381;04;02;40;40;7;4;86;0.8745169819;4;1;13;78.513321131;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";1164;10;03;50;50;6;3;84;0.8541793777;3;1;61;79.367500508;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";80%;;;10;80;481;244;7805;;;;;79.367500508;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";Tous;;;10;80;775;477;9834;;231;134;18.343283582;100;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";1011;09;00;60;60;126;69;1891;11.014678472;69;59;25.644067797;11.014678472;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";1012;09;00;50;50;51;22;988;5.7548928239;22;18;48.611111111;16.769571295;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";1976;07;04;10;20;220;198;882;5.1374650513;169;123;4.8455284553;21.907036347;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0252;03;00;60;60;101;78;761;4.432665424;78;75;9.96;26.339701771;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0410;04;07;30;30;97;75;708;4.1239515377;73;27;5.5925925926;30.463653308;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0409;04;07;40;40;66;44;704;4.1006523765;44;15;9.6666666667;34.564305685;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0411;04;07;10;20;160;140;596;3.4715750233;125;55;3.9272727273;38.035880708;2022.11;X590048476;30DEC22;15:37:12
