"champ";"statut";"annee";"periode";"date du resultat";"ipe";mpcp;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;mpcacodm;nbcim;nbsej;nbsejc;dms;pctcum;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";04;309;196;3858;39.23123856;30;13.558061172;4.9097978227;74.174183515;80.378434422;325;87;63;35.349206349;39.23123856;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";09;149;77;2263;23.011999186;50;8.106495802;2.8108705259;63.87715422;32.965090588;186;33;23;43.391304348;62.243237747;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";14;146;92;1797;18.273337401;30;13.917084029;4.1474680022;79.157484697;85.030606566;154;33;19;32.263157895;80.516575147;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";10;63;41;743;7.5554199715;50;7.9434724092;2.5504710633;68.518169583;49.528936743;138;31;26;25.5;88.071995119;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";06;39;20;639;6.4978645516;30;14.366197183;3.8215962441;63.064162754;100;87;17;13;27.461538462;94.569859671;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";08;37;26;311;3.1624974578;40;10.569131833;4.0032154341;86.92926045;88.424437299;27;25;24;4.3333333333;97.732357128;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";03;20;14;167;1.6981899532;60;6.9101796407;2.3473053892;52.826347305;29.341317365;116;12;8;14.875;99.430547082;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";07;12;11;56;0.5694529184;20;15.75;5.8571428571;84.607142857;100;59;8;7;7.5714285714;100;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";99;775;477;9834;;40;11.802521863;3.9717307301;71.666259915;74.451612903;536;231;183;28.054644809;100;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";04;716;540;6023;35.082712022;40;13.340029885;4.6745807737;75.996015275;81.819691184;242;358;304;15.049342105;35.082712022;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";09;349;191;5248;30.568499534;50;8.5785060976;3.1455792683;67.37652439;33.40320122;154;173;139;29.064748201;65.651211556;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";07;320;273;1839;10.711789376;30;13.6742795;5.6987493203;80.762370854;99.836867863;135;208;186;8.5752688172;76.363000932;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";03;206;168;1374;8.0032618826;60;7.4170305677;3.1390101892;69.802037846;26.128093159;156;167;145;8.4620689655;84.366262815;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";06;88;52;1095;6.3781453868;40;12.466666667;3.8246575342;66.394520548;93.607305936;60;40;29;26.827586207;90.744408201;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";05;142;130;678;3.9492078285;60;4.2654867257;2.6799410029;75.181415929;0;6;130;130;5.2153846154;94.69361603;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";14;32;18;407;2.3706896552;30;14.916461916;4.3562653563;76.968058968;88.206388206;30;12;8;38.25;97.064305685;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";08;48;42;346;2.0153774464;60;6.0606936416;3.2572254335;74.205202312;24.277456647;30;35;31;7.9032258065;99.079683131;2022.11;X590048476;30DEC22;15:37:12
