"champ";"statut";"annee";"periode";"date du resultat";"ipe";nat_sej;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;nbcim;nbsej;pctcum;mpcacodm;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";08;338;193;4704;47.834045149;40;10.777848639;3.2670068027;69.160926871;309;77;47.834045149;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";04;302;192;3722;37.848281472;30;13.627619559;5.0102095648;74.265448684;308;89;85.682326622;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";07;116;83;1050;10.677242221;50;9.3428571429;3.28;65.805714286;150;60;96.359568843;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";05;19;9;358;3.6404311572;30;13.505586592;4.4636871508;94.751396648;45;5;100;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";99;775;477;9834;;40;11.802521863;3.9717307301;71.666259915;536;231;100;74.451612903;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:22";="590048476";04;1031;812;7645;44.530521901;30;13.535775016;4.9589274035;77.548463048;283;538;44.530521901;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:22";="590048476";08;402;223;5921;34.488583411;50;10.123627766;3.3732477622;69.40685695;175;177;79.019105312;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:22";="590048476";07;505;413;3537;20.602283318;60;6.5204975968;3.0455188012;67.309018943;192;394;99.62138863;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:22";="590048476";05;4;3;65;0.37861137;60;4.2153846154;2.0461538462;39;4;3;100;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:22";="590048476";99;1942;1451;17168;;40;10.878378378;4.0068150047;72.485030289;464;1112;100;65.036045314;2022.11;X590048476;30DEC22;15:37:12
