"champ";"statut";"annee";"periode";"date du resultat";"ipe";nat_sej;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;nbcim;nbsej;pctcum;mpcacodm;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:30";="020000022";05;4;2;79;86.813186813;30;16;6;97;2;1;86.813186813;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:30";="020000022";08;4;4;12;13.186813187;30;15;4;61;1;4;100;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:30";="020000022";99;8;6;91;;30;15.868131868;5.7362637363;92.252747253;3;5;100;100;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:43";="590048476";04;1;1;2;66.666666667;40;15;4;90;1;1;66.666666667;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:43";="590048476";07;1;1;1;33.333333333;50;5;4;69;1;1;100;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:43";="590048476";99;2;2;3;;40;11.666666667;4;83;2;2;100;50;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:27";="590780193";02;6;3;121;84.615384615;60;7.5867768595;2;30.933884298;1;2;84.615384615;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:27";="590780193";01;3;3;11;7.6923076923;90;7.0909090909;2;0.1061021171;1;1;92.307692308;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:27";="590780193";08;1;1;11;7.6923076923;50;10;2;63;1;1;100;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:27";="590780193";99;10;7;143;;60;7.7342657343;2;31.029140722;3;4;100;20;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:24";="590782652";;;;;;;;;;;;;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:24";="590782652";99;0;0;;;;;;;0;0;;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:37";="600100713";;;;;;;;;;;;;;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:37";="600100713";99;0;0;;;;;;;0;0;;;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:22:49";="600100721";;;;;;;;;;;;;;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:49";="600100721";99;0;0;;;;;;;0;0;;;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:34";="800000028";08;4;1;84;100;60;4;2;71;1;1;100;;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:34";="800000028";99;4;1;84;;60;4;2;71;1;1;100;0;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:27";="800000036";;;;;;;;;;;;;;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:27";="800000036";99;0;0;;;;;;;0;0;;;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:34";="800000069";08;26;16;322;100;50;10.680124224;2.5527950311;37.664596273;4;13;100;;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:34";="800000069";99;26;16;322;;50;10.680124224;2.5527950311;37.664596273;4;13;100;100;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/26 10:01:45";="800000077";;;;;;;;;;;;;;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:45";="800000077";99;0;0;;;;;;;0;0;;;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/28 15:59:37";="800000085";04;1;1;25;100;50;11;2;78;1;1;100;;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:37";="800000085";99;1;1;25;;50;11;2;78;1;1;100;100;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/27 14:51:39";="800000093";;;;;;;;;;;;;;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:39";="800000093";99;0;0;;;;;;;0;0;;;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:30";="800000523";08;17;7;361;70.5078125;40;12.293628809;4.4238227147;62.055401662;3;5;70.5078125;;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:30";="800000523";04;9;5;151;29.4921875;20;15.278145695;7.059602649;86.377483444;3;3;100;;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:30";="800000523";99;26;12;512;;30;13.173828125;5.201171875;69.228515625;6;8;100;100;2022.11;X800000523;22DEC22;10:53:02
