"champ";"statut";"annee";"periode";"date du resultat";"ipe";mpcp;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;mpcacodm;nbcim;nbsej;nbsejc;dms;pctcum;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:31";="020000022";09;35;25;310;41.168658699;40;11.916129032;5.8838709677;85.858064516;99.35483871;2;2;1;2;41.168658699;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:31";="020000022";04;13;8;211;28.02124834;30;14.971563981;5.2796208531;84.654028436;88.625592417;7;7;2;14;69.189907039;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:31";="020000022";14;21;15;202;26.826029216;30;13.762376238;2.9207920792;78.772277228;100;3;3;1;52;96.015936255;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:31";="020000022";06;7;6;27;3.5856573705;40;13.333333333;5;61;100;2;5;5;5.4;99.601593625;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:31";="020000022";07;2;2;3;0.3984063745;10;15;6;83;100;1;1;;;100;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:31";="020000022";;;;;;;;;;;0;;;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:31";="020000022";99;78;56;753;;30;13.330677291;4.8884462151;82.717131474;97.435897436;13;15;9;12.111111111;100;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:43";="590048476";;;;;;;;;;;;;;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:43";="590048476";99;0;0;;;;;;;;0;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:27";="590780193";;;;;;;;;;;;;;;;2022.11;X590780193;30DEC22;11:03:01
