"champ";"statut";"annee";"periode";"date du resultat";"ipe";exotm;COUNT;PERCENT;count1;percent1;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";0 : Pas d'exonération;13;5.6277056277;170;1.7286963596;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";2 : Soins relatifs à un séjour > 30 jours;10;4.329004329;510;5.1860890787;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";3 : Soins particuliers exonérés;1;0.4329004329;282;2.8676021965;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";4 : Soins conformes au protocole ALD;180;77.922077922;8729;88.763473663;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";5 : Assuré ou bénéficiaire exonéré (régime exonérant);26;11.255411255;141;1.4338010982;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";C : Soins exonérés en codage CCAM du fait de la nature de l'acte, ou du dépassement du seuil;1;0.4329004329;2;0.0203376042;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:28";="590048476";0 : Pas d'exonération;94;8.4532374101;701;4.0831780056;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:28";="590048476";2 : Soins relatifs à un séjour > 30 jours;17;1.5287769784;1035;6.0286579683;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:28";="590048476";4 : Soins conformes au protocole ALD;1001;90.017985612;15432;89.888164026;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:15";="590780193";0 : Pas d'exonération;416;17.000408664;8223;38.414463235;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:15";="590780193";1 : Soins en rapport avec K>60 ou montant>120¤;36;1.4711892113;452;2.1115575072;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:15";="590780193";2 : Soins relatifs à un séjour > 30 jours;30;1.2259910094;969;4.5267681958;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:15";="590780193";3 : Soins particuliers exonérés;123;5.0265631385;2195;10.254134355;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:15";="590780193";4 : Soins conformes au protocole ALD;1775;72.537801389;8258;38.577968794;2022.11;X590780193;30DEC22;11:03:01
