"champ";"statut";"annee";"periode";"date du resultat";"ipe";sej_fact;taux;COUNT;PERCENT;count1;percent1;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:21";="020000022";1 Séjour facturable à l'AM;80;19;8.2251082251;617;6.274150905;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:21";="020000022";1 Séjour facturable à l'AM;100;212;91.774891775;9217;93.725849095;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:29";="590048476";1 Séjour facturable à l'AM;80;103;9.2625899281;1327;7.7294967381;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:29";="590048476";1 Séjour facturable à l'AM;100;1009;90.737410072;15841;92.270503262;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:16";="590780193";0 Séjour non facturable à l'AM;0;39;1.5937883122;604;2.8216387929;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:16";="590780193";1 Séjour facturable à l'AM;80;83;3.3919084593;1246;5.8207979071;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:16";="590780193";1 Séjour facturable à l'AM;100;2323;94.932570494;19489;91.044566944;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:16";="590780193";2 En attente de décision sur le taux de prise en charge du patient;0;1;0.040866367;45;0.2102214332;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:16";="590780193";3 En attente de décision sur les droits du patient;0;1;0.040866367;22;0.1027749229;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:15";="590782652";1 Séjour facturable à l'AM;80;55;6.6991473812;1070;6.9219821452;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:15";="590782652";1 Séjour facturable à l'AM;100;766;93.300852619;14388;93.078017855;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:27";="600100713";1 Séjour facturable à l'AM;80;33;8.4183673469;903;9.2406876791;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:27";="600100713";1 Séjour facturable à l'AM;100;359;91.581632653;8869;90.759312321;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:22:38";="600100721";1 Séjour facturable à l'AM;80;14;4.9469964664;339;4.8352588789;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:38";="600100721";1 Séjour facturable à l'AM;100;269;95.053003534;6672;95.164741121;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:24";="800000028";1 Séjour facturable à l'AM;80;19;7.3643410853;558;6.8323741888;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:24";="800000028";1 Séjour facturable à l'AM;100;239;92.635658915;7609;93.167625811;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:18";="800000036";1 Séjour facturable à l'AM;80;19;11.656441718;248;5.1123479695;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:18";="800000036";1 Séjour facturable à l'AM;100;144;88.343558282;4603;94.887652031;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:22";="800000069";1 Séjour facturable à l'AM;80;21;8.3003952569;638;6.8432907862;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:22";="800000069";1 Séjour facturable à l'AM;100;186;73.517786561;6104;65.472487397;2022.11;X800000069;22DEC22;12:54:07
