"champ";"statut";"annee";"periode";"date du resultat";"ipe";desc_taux;COUNT;PERCENT;count1;percent1;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:21";="020000022";4;19;8.2251082251;617;6.274150905;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:21";="020000022";8;212;91.774891775;9217;93.725849095;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:29";="590048476";4;103;9.2625899281;1327;7.7294967381;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:29";="590048476";8;1009;90.737410072;15841;92.270503262;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:16";="590780193";2;41;1.6755210462;671;3.134635149;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:16";="590780193";4;83;3.3919084593;1246;5.8207979071;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:16";="590780193";8;2323;94.932570494;19489;91.044566944;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:15";="590782652";4;55;6.6991473812;1070;6.9219821452;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:15";="590782652";8;766;93.300852619;14388;93.078017855;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:27";="600100713";4;33;8.4183673469;903;9.2406876791;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:27";="600100713";8;359;91.581632653;8869;90.759312321;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:22:38";="600100721";4;14;4.9469964664;339;4.8352588789;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:38";="600100721";8;269;95.053003534;6672;95.164741121;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:24";="800000028";4;19;7.3643410853;558;6.8323741888;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:24";="800000028";8;239;92.635658915;7609;93.167625811;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:18";="800000036";4;19;11.656441718;248;5.1123479695;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:18";="800000036";8;144;88.343558282;4603;94.887652031;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:22";="800000069";2;46;18.181818182;2581;27.684221817;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:22";="800000069";4;21;8.3003952569;638;6.8432907862;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:22";="800000069";8;186;73.517786561;6104;65.472487397;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/26 10:01:36";="800000077";4;15;15;319;8.9081262217;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:36";="800000077";8;85;85;3262;91.091873778;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/28 15:59:28";="800000085";4;5;2.8735632184;208;3.1941031941;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:28";="800000085";8;169;97.126436782;6304;96.805896806;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/27 14:51:26";="800000093";2;6;2.5974025974;29;0.5291005291;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:26";="800000093";4;81;35.064935065;1309;23.882503193;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:26";="800000093";8;144;62.337662338;4143;75.588396278;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:17";="800000523";8;1384;100;88476;100;2022.11;X800000523;22DEC22;10:53:02
