"champ";"statut";"annee";"periode";"date du resultat";"ipe";gdreg;COUNT;PERCENT;count1;percent1;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:21";="020000022";01 Régime général;195;84.415584416;7808;79.398006915;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:21";="020000022";02 Régime agricole;28;12.121212121;1439;14.632906244;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:21";="020000022";04 SNCF;3;1.2987012987;412;4.1895464714;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:21";="020000022";08 Militaires de carrière;1;0.4329004329;36;0.3660768761;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:21";="020000022";91 Mutuelle Générale de l'Education Nationale (MGEN);3;1.2987012987;60;0.6101281269;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:21";="020000022";99 Autres mutuelles;1;0.4329004329;79;0.8033353671;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:30";="590048476";01 Régime général;1011;90.917266187;16086;93.697576887;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:30";="590048476";02 Régime agricole;19;1.7086330935;198;1.1533084809;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:30";="590048476";04 SNCF;11;0.9892086331;155;0.9028424977;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:30";="590048476";05 RATP;1;0.0899280576;5;0.0291239515;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:30";="590048476";07 Mineurs et assimilés;2;0.1798561151;31;0.1805684995;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:30";="590048476";08 Militaires de carrière;10;0.8992805755;81;0.4718080149;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:30";="590048476";10 Clercs et employés de notaire;1;0.0899280576;9;0.0524231128;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:30";="590048476";90 Caisse d'Assurance Maladie des cultes;6;0.5395683453;48;0.2795899348;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:30";="590048476";91 Mutuelle Générale de l'Education Nationale (MGEN);40;3.5971223022;378;2.2017707363;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:30";="590048476";93 Mutuelle Générale de la Police (MGP);1;0.0899280576;3;0.0174743709;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:30";="590048476";99 Autres mutuelles;10;0.8992805755;174;1.0135135135;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:16";="590780193";01 Régime général;2223;90.845933796;20033;93.585910492;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:16";="590780193";02 Régime agricole;16;0.6538618717;61;0.2849668317;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:16";="590780193";04 SNCF;26;1.0625255415;133;0.6213211249;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:16";="590780193";06 Etablissement National des Invalides de la Marine (ENIM);1;0.040866367;1;0.0046715874;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:16";="590780193";08 Militaires de carrière;1;0.040866367;17;0.0794169859;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:16";="590780193";10 Clercs et employés de notaire;4;0.1634654679;4;0.0186863496;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:16";="590780193";91 Mutuelle Générale de l'Education Nationale (MGEN);135;5.5169595423;688;3.2140521349;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:16";="590780193";93 Mutuelle Générale de la Police (MGP);1;0.040866367;80;0.3737269924;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:16";="590780193";99 Autres mutuelles;10;0.4086636698;63;0.2943100065;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:16";="590780193";XX;30;1.2259910094;326;1.5229374942;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:15";="590782652";01 Régime général;687;83.678440926;12990;84.034157071;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:15";="590782652";02 Régime agricole;80;9.7442143727;1504;9.7295898564;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:15";="590782652";04 SNCF;8;0.9744214373;158;1.0221244663;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:15";="590782652";07 Mineurs et assimilés;4;0.4872107186;135;0.8733341959;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:15";="590782652";08 Militaires de carrière;10;1.2180267966;228;1.4749644197;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:15";="590782652";91 Mutuelle Générale de l'Education Nationale (MGEN);25;3.0450669915;245;1.584939837;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:15";="590782652";93 Mutuelle Générale de la Police (MGP);1;0.1218026797;42;0.2717039721;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:15";="590782652";99 Autres mutuelles;6;0.730816078;156;1.0091861819;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:28";="600100713";01 Régime général;320;81.632653061;7707;78.868194842;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:28";="600100713";02 Régime agricole;40;10.204081633;1133;11.594351208;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:28";="600100713";04 SNCF;3;0.7653061224;140;1.4326647564;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:28";="600100713";05 RATP;4;1.0204081633;155;1.5861645518;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:28";="600100713";08 Militaires de carrière;3;0.7653061224;56;0.5730659026;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:28";="600100713";91 Mutuelle Générale de l'Education Nationale (MGEN);18;4.5918367347;534;5.4645927139;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:28";="600100713";99 Autres mutuelles;4;1.0204081633;47;0.4809660254;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:22:38";="600100721";01 Régime général;257;90.812720848;6347;90.52916845;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:38";="600100721";02 Régime agricole;9;3.1802120141;438;6.2473256312;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:38";="600100721";04 SNCF;1;0.3533568905;15;0.2139495079;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:38";="600100721";05 RATP;2;0.7067137809;5;0.0713165026;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:38";="600100721";08 Militaires de carrière;4;1.4134275618;81;1.1553273427;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:38";="600100721";14 Assemblée Nationale;1;0.3533568905;1;0.0142633005;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:38";="600100721";91 Mutuelle Générale de l'Education Nationale (MGEN);9;3.1802120141;124;1.7686492654;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:24";="800000028";01 Régime général;214;82.945736434;6814;83.433329252;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:24";="800000028";02 Régime agricole;30;11.627906977;1083;13.260683237;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:24";="800000028";07 Mineurs et assimilés;4;1.5503875969;57;0.6979306967;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:24";="800000028";91 Mutuelle Générale de l'Education Nationale (MGEN);7;2.7131782946;154;1.8856373209;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:24";="800000028";99 Autres mutuelles;3;1.1627906977;59;0.7224194931;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:18";="800000036";01 Régime général;133;81.595092025;4302;88.682745826;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:18";="800000036";02 Régime agricole;16;9.8159509202;180;3.7105751391;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:18";="800000036";04 SNCF;3;1.8404907975;53;1.0925582354;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:18";="800000036";08 Militaires de carrière;3;1.8404907975;44;0.9070294785;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:18";="800000036";91 Mutuelle Générale de l'Education Nationale (MGEN);8;4.9079754601;272;5.6070913214;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:23";="800000069";01 Régime général;224;88.537549407;8268;88.683900032;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:23";="800000069";02 Régime agricole;22;8.6956521739;738;7.9159068969;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:23";="800000069";04 SNCF;2;0.790513834;93;0.9975329829;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:23";="800000069";91 Mutuelle Générale de l'Education Nationale (MGEN);3;1.185770751;88;0.9439021774;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:23";="800000069";99 Autres mutuelles;2;0.790513834;136;1.4587579105;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/26 10:01:36";="800000077";01 Régime général;84;84;2752;76.850041888;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:36";="800000077";02 Régime agricole;13;13;621;17.341524714;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:36";="800000077";05 RATP;1;1;97;2.7087405753;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:36";="800000077";91 Mutuelle Générale de l'Education Nationale (MGEN);2;2;111;3.0996928232;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/28 15:59:28";="800000085";01 Régime général;146;83.908045977;4889;75.076781327;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:28";="800000085";02 Régime agricole;23;13.218390805;1579;24.247542998;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:28";="800000085";04 SNCF;2;1.1494252874;26;0.3992628993;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:28";="800000085";91 Mutuelle Générale de l'Education Nationale (MGEN);2;1.1494252874;7;0.1074938575;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:28";="800000085";99 Autres mutuelles;1;0.5747126437;11;0.1689189189;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/27 14:51:27";="800000093";01 Régime général;181;78.354978355;4183;76.318190111;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:27";="800000093";02 Régime agricole;35;15.151515152;1180;21.528918081;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:27";="800000093";08 Militaires de carrière;6;2.5974025974;41;0.7480386791;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:27";="800000093";10 Clercs et employés de notaire;1;0.4329004329;9;0.1642036125;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:27";="800000093";91 Mutuelle Générale de l'Education Nationale (MGEN);4;1.7316017316;50;0.9122422916;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:27";="800000093";99 Autres mutuelles;1;0.4329004329;8;0.1459587666;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:27";="800000093";XX;3;1.2987012987;10;0.1824484583;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:17";="800000523";01 Régime général;1163;84.031791908;74380;84.067995841;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:17";="800000523";02 Régime agricole;58;4.1907514451;3854;4.3559835436;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:17";="800000523";03 Régime Social des Indépendants (RSI);9;0.6502890173;801;0.9053302591;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:17";="800000523";04 SNCF;41;2.9624277457;2571;2.9058727791;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:17";="800000523";08 Militaires de carrière;9;0.6502890173;709;0.801347258;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:17";="800000523";10 Clercs et employés de notaire;4;0.289017341;348;0.3933270039;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:17";="800000523";90 Caisse d'Assurance Maladie des cultes;3;0.2167630058;39;0.0440797504;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:17";="800000523";91 Mutuelle Générale de l'Education Nationale (MGEN);83;5.9971098266;4242;4.7945205479;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:17";="800000523";92 Mutuelle Générale (MG);4;0.289017341;284;0.3209910032;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:17";="800000523";94 Fédération fonctionnaire (SLI);3;0.2167630058;667;0.7538767575;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:17";="800000523";96 Mutuelle de la Marine;1;0.0722543353;334;0.3775035038;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:17";="800000523";99 Autres mutuelles;6;0.4335260116;247;0.2791717528;2022.11;X800000523;22DEC22;10:53:02
