"champ";"statut";"annee";"periode";"date du resultat";"ipe";patient_cmu;COUNT;PERCENT;count1;percent1;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:22";="020000022";Non;210;90.909090909;9612;97.74252593;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:22";="020000022";Oui;21;9.0909090909;222;2.2574740696;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:30";="590048476";Non;1097;98.651079137;16737;97.489515377;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:30";="590048476";Oui;15;1.3489208633;431;2.5104846226;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:17";="590780193";Non renseigné;2143;87.576624438;18301;85.494721106;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:17";="590780193";Oui;304;12.423375562;3105;14.505278894;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:15";="590782652";Non;814;99.147381242;15048;97.347651701;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:15";="590782652";Oui;7;0.8526187576;410;2.6523482986;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:28";="600100713";Non;391;99.744897959;9758;99.856733524;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:28";="600100713";Oui;1;0.2551020408;14;0.1432664756;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:22:39";="600100721";Non renseigné;278;98.233215548;6905;98.488090144;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:39";="600100721";Oui;5;1.7667844523;106;1.5119098559;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:25";="800000028";Non;253;98.062015504;7903;96.767478878;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:25";="800000028";Oui;5;1.9379844961;264;3.2325211216;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:19";="800000036";Non;162;99.386503067;4838;99.732014018;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:19";="800000036";Oui;1;0.6134969325;13;0.2679859823;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:23";="800000069";Non renseigné;239;94.466403162;8737;93.714469591;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:23";="800000069";Oui;14;5.5335968379;586;6.2855304087;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/26 10:01:37";="800000077";Non;98;98;3556;99.301870986;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:37";="800000077";Oui;2;2;25;0.6981290142;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/28 15:59:28";="800000085";Non;172;98.850574713;6411;98.449017199;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:28";="800000085";Oui;2;1.1494252874;101;1.550982801;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/27 14:51:27";="800000093";Non;228;98.701298701;5459;99.598613392;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:27";="800000093";Oui;3;1.2987012987;22;0.4013866083;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:18";="800000523";Non;1367;98.771676301;87707;99.130837741;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:18";="800000523";Oui;17;1.2283236994;769;0.8691622587;2022.11;X800000523;22DEC22;10:53:02
