"champ";"statut";"annee";"periode";"date du resultat";"ipe";codegeo;N;pct;nbj;pctj;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";02110;32;15.609756098;1945;19.778320114;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";02120;41;20;1111;11.29753915;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";02140;39;19.024390244;1417;14.409192597;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";02170;18;8.7804878049;632;6.4266829368;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";02230;4;1.9512195122;326;3.3150294895;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";02260;12;5.8536585366;1307;13.290624364;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";02450;10;4.8780487805;805;8.1858857027;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";02500;24;11.707317073;884;8.9892210698;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";02510;7;3.4146341463;370;3.7624567826;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";02550;3;1.4634146341;102;1.0372178157;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";02580;3;1.4634146341;216;2.1964612569;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";02630;7;3.4146341463;645;6.5588773642;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";02830;5;2.4390243902;74;0.7524913565;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:15";="020000022";Total;205;100;9834;100;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59100;51;4.7574626866;1378;8.0265610438;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59110;14;1.3059701493;217;1.2639794967;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59112;2;0.1865671642;44;0.2562907735;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59113;4;0.3731343284;39;0.227166822;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59115;7;0.6529850746;85;0.4951071761;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59116;8;0.7462686567;44;0.2562907735;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59117;5;0.4664179104;86;0.5009319664;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59118;23;2.1455223881;303;1.7649114632;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59120;9;0.8395522388;163;0.9494408201;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59126;19;1.7723880597;329;1.9163560112;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59130;20;1.8656716418;389;2.2658434296;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59133;10;0.9328358209;50;0.2912395154;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59134;2;0.1865671642;53;0.3087138863;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59136;9;0.8395522388;69;0.4019105312;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59139;1;0.0932835821;9;0.0524231128;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59150;27;2.5186567164;828;4.8229263747;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59152;1;0.0932835821;3;0.0174743709;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59155;17;1.5858208955;205;1.194082013;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59162;1;0.0932835821;63;0.3669617894;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59166;7;0.6529850746;286;1.665890028;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59170;32;2.9850746269;562;3.2735321528;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59175;10;0.9328358209;61;0.3553122088;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59184;9;0.8395522388;33;0.1922180801;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59193;2;0.1865671642;5;0.0291239515;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59200;124;11.567164179;2209;12.866961789;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59211;1;0.0932835821;81;0.4718080149;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59223;8;0.7462686567;86;0.5009319664;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59236;12;1.1194029851;66;0.3844361603;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59237;1;0.0932835821;9;0.0524231128;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59239;2;0.1865671642;40;0.2329916123;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59242;5;0.4664179104;116;0.6756756757;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59249;2;0.1865671642;22;0.1281453868;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59250;23;2.1455223881;344;2.0037278658;2022.11;X590048476;30DEC22;15:37:12
