"champ";"statut";"annee";"periode";"date du resultat";"ipe";finess_esms;rai_soc;type_etab;code_cat;ehpad;type_lieu;codefs;date_deb;date_fin;date_fin1;indic;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:40";="020000022";020004974;EHPAD CH LE NOUVION-EN-THIÉRACHE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;01/08/2020;31/12/2022;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:40";="020000022";020007308;EHPAD ORPEA LA DORINE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;04/11/2022;;31/12/2022;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:40";="020000022";020012522;LA FONTAINE MÉDICIS;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;18/09/2020;;06/06/2179;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590006862;EHPAD RESIDENCE LES CAMANETTES;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;17/11/2017;31/12/2050;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590007266;EHPAD  LES ORCHIDEES;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;30/09/2013;31/12/2050;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590010468;EHPAD RESIDENCE ISABEAU DU BOSQUEL;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;18/07/2012;31/12/2030;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590013959;EHPAD RESIDENCE RACHEL MERESSE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;14/10/2022;30/12/2050;31/12/2030;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590015038;SSIAD DE CROIX;33;354 Service de Soins Infirmiers A Domicile (S.S.I.A.D);0;6;0;01/01/2000;31/12/2050;30/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590022638;EHPAD HENRI MATISSE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;01/12/2020;31/12/2050;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590035945;EHPAD RESIDENCE LA GOELETTE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;01/10/2018;31/12/2030;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590036513;EHPAD RESIDENCE SERVICE LES ACACIAS;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;10/02/2017;31/12/2050;31/12/2030;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590037768;EHPAD GENEVIÈVE ET ROGER BAILLEUL;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;24/03/2015;31/12/2030;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590038097;EHPAD RESIDENCE MARIE LAURENCIN;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;11/01/2016;31/12/2030;31/12/2030;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590039467;EHPAD INTERCOMMUNALE  LA CERISAIE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;10/10/2016;31/12/2030;31/12/2030;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590039889;EHPAD LES ROSES;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;11/02/2011;31/12/2050;31/12/2030;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590041398;LITS HALTE SOINS SANTÉ ABEJ SOLIDARITE;26;180 Lits Halte Soins Santé (L.H.S.S.);0;4;1;19/04/2016;;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590043048;EHPAD ARTHUR FRANCOIS;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;15/03/2012;31/12/2030;06/06/2179;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590045605;EHPAD RESIDENCE LES CYGNES;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;06/11/2018;31/12/2030;31/12/2030;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590046454;FAM ASRL DE SECLIN;21;437 Foyer d'Accueil Médicalisé pour Adultes Handicapés (F.A.M.);0;4;1;24/04/2015;;31/12/2030;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590046991;EHPAD SAINT FRANÇOIS DE SALES;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;24/04/2013;31/12/2050;06/06/2179;;2022.11;X590048476;30DEC22;15:37:12
