"champ";"statut";"annee";"periode";"date du resultat";"ipe";finess_esms;type_etab;type_lieu;codefs;date_deb;date_fin;date_fin1;indic;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590001137;17;3;1;11/09/2012;31/12/2050;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590036471;17;3;1;10/10/2016;31/12/2030;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590046413;17;3;1;27/10/2010;31/12/2050;31/12/2030;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590060729;17;3;1;11/09/2015;31/12/2050;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590791679;33;6;0;16/02/2022;31/12/2030;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";591192430;17;3;1;20/03/2013;31/12/2050;31/12/2030;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/29 12:11:34";="590782652";590048443;17;3;1;27/08/2009;;;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:34";="590782652";590797601;33;6;0;24/10/2013;;06/06/2179;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:50";="600100713";600000376;17;3;1;17/04/2013;;;;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:50";="600100713";600100572;17;3;1;29/07/2009;;06/06/2179;;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:22:59";="600100721";600000160;17;3;1;01/02/2011;31/12/2035;;;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2022/12/22 10:53:44";="800000523";800002974;17;3;1;01/01/2013;;;;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:44";="800000523";800079741;17;3;1;01/01/2006;;06/06/2179;;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:44";="800000523";800154148;20;4;1;27/06/2018;;06/06/2179;;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:44";="800000523";800523128;33;6;0;23/06/2021;;06/06/2179;;2022.11;X800000523;22DEC22;10:53:02
