"champ";"statut";"annee";"periode";"date du resultat";"ipe";code_erreur;nbrapss;nb_seq;nberr;bloq;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:32";="020000022";C530;15;13;15;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:32";="020000022";C535;4;3;4;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:45";="590048476";C525;3;1;3;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:45";="590048476";C530;660;544;660;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:45";="590048476";C535;16;14;16;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:29";="590780193";C060;4;4;4;1;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:29";="590780193";C061;1;1;1;1;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:29";="590780193";C062;1;1;1;1;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:29";="590780193";C063;1;1;1;1;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:29";="590780193";C064;3;3;3;1;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:29";="590780193";C065;3;3;3;1;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:29";="590780193";C066;2;2;2;1;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:29";="590780193";C105;1;1;1;1;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:29";="590780193";C108;5;5;5;1;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:29";="590780193";E702;1;1;1;1;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:29";="590780193";C517;3;3;3;0;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:29";="590780193";C524;1;1;1;0;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:29";="590780193";C530;57;44;57;0;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:29";="590780193";C535;55;53;55;0;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:25";="590782652";C525;4;2;4;0;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:25";="590782652";C530;136;120;136;0;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:25";="590782652";C535;54;46;54;0;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:40";="600100713";C530;162;162;162;0;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:40";="600100713";C535;17;17;17;0;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:22:51";="600100721";R806;3;3;3;1;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:51";="600100721";R807;3;3;3;1;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:51";="600100721";S655;1;1;1;1;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:51";="600100721";C517;1;1;1;0;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:51";="600100721";C530;31;26;31;0;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:51";="600100721";C535;39;31;39;0;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:51";="600100721";R805;15;15;15;0;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:36";="800000028";C530;13;12;13;0;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:36";="800000028";C535;14;8;14;0;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:29";="800000036";C517;2;1;2;0;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:29";="800000036";C530;31;27;31;0;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:29";="800000036";C535;3;3;3;0;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:37";="800000069";S655;1;1;1;1;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:37";="800000069";C525;3;1;3;0;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:37";="800000069";C530;81;65;81;0;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:37";="800000069";C535;11;8;11;0;2022.11;X800000069;22DEC22;12:54:07
