"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghpcp;ghtp1;nb_seq;nbrapss;nbj;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 15:37:45";="590048476";9999;05;1;1;23;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:45";="590048476";9999;06;1;1;30;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:45";="590048476";9999;10;1;1;15;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:29";="590780193";9999;03;1;1;14;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:29";="590780193";9999;15;1;1;14;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:29";="590780193";9999;16;1;1;2;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:29";="590780193";9999;17;1;1;1;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:29";="590780193";9999;99;13;13;105;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:26";="590782652";9999;04;1;2;34;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:26";="590782652";9999;10;1;2;19;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2023/01/02 09:22:51";="600100721";9999;17;1;1;4;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:51";="600100721";9999;99;4;4;52;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2022/12/22 09:39:30";="800000036";9999;11;1;1;20;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:30";="800000036";9999;17;1;1;9;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:37";="800000069";9999;08;1;1;3;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:37";="800000069";9999;14;1;2;32;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:37";="800000069";9999;99;1;1;7;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 10:53:31";="800000523";9999;01;4;4;29;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:31";="800000523";9999;02;3;3;58;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:31";="800000523";9999;03;8;8;131;2022.11;X800000523;22DEC22;10:53:02
