"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghtp;ghte;nbjp;nbje;nbrapss;nb_seq;nbsej;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 11:03:29";="590780193";99;12;0;3;1;1;1;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:26";="590782652";;13;0;1;1;1;1;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:26";="590782652";13;13;3;2;1;1;1;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2023/01/02 09:22:51";="600100721";;08;0;7;1;1;1;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:51";="600100721";;09;0;5;1;1;1;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:51";="600100721";;11;0;4;1;1;1;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:51";="600100721";;15;0;17;1;1;1;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:51";="600100721";;17;0;5;1;1;1;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:51";="600100721";99;13;0;4;1;1;1;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:51";="600100721";99;15;0;4;1;1;1;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:51";="600100721";99;23;0;4;1;1;1;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:51";="600100721";99;25;0;1;1;1;1;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2022/12/22 09:39:30";="800000036";;14;0;15;1;1;1;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:30";="800000036";14;15;15;2;1;1;1;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:30";="800000036";15;15;15;13;1;1;1;2022.11;X800000036;22DEC22;9:39:05
