"champ";"statut";"annee";"periode";"date du resultat";"ipe";diagp;mpcp;nb;nbrapss;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:34";="020000022";R520;07;1;1;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:47";="590048476";R520;07;21;24;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:47";="590048476";R5218;07;3;3;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:31";="590780193";R520;07;3;4;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:31";="590780193";Z480;09;10;12;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:31";="590780193";Z480;10;8;8;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:31";="590780193";Z511;05;29;31;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:31";="590780193";Z515;04;2;2;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:28";="590782652";R5218;07;2;2;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:42";="600100713";R5210;07;1;1;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:42";="600100713";R5218;07;23;23;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:22:53";="600100721";R5210;07;2;2;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:53";="600100721";R5218;07;1;1;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:53";="600100721";R522;07;1;2;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:38";="800000028";Z480;09;2;4;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:38";="800000028";Z480;10;2;3;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/28 15:59:40";="800000085";R5218;07;1;2;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:40";="800000085";Z480;09;1;1;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/22 10:53:35";="800000523";R5218;07;1;1;2022.11;X800000523;22DEC22;10:53:02
