"champ";"statut";"annee";"periode";"date du resultat";"ipe";mpcp;mpca;nb;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 15:37:51";="590048476";04;07;226;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:51";="590048476";07;04;165;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:35";="590780193";04;07;26;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:30";="590782652";04;07;8;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:30";="590782652";07;04;1;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:45";="600100713";07;04;11;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:22:55";="600100721";04;07;1;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:55";="600100721";07;04;24;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:41";="800000028";04;07;3;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:34";="800000036";04;07;26;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/28 15:59:43";="800000085";04;07;48;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/22 10:53:40";="800000523";04;07;11;2022.11;X800000523;22DEC22;10:53:02
