"champ";"statut";"annee";"periode";"date du resultat";"ipe";finess_esms;nbjtot;nbje;nbjsupp;nbjsupp2;nbjval;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";020004974;56;55;0;0;55;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";020007308;27;27;0;0;27;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";020012522;21;19;0;0;19;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590001137;44;44;0;0;44;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590006862;42;42;0;0;42;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590007266;96;95;0;0;95;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590010468;8;8;0;0;8;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590013959;3;3;0;0;3;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590022638;70;69;0;0;69;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590035945;2;2;0;0;2;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590036471;12;12;0;0;12;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590036513;18;18;0;0;18;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590037768;35;35;0;0;35;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590038097;6;6;0;0;6;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590039467;25;25;0;0;25;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590039889;15;15;0;0;15;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590041398;6;6;0;0;6;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590043048;5;5;0;0;5;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590045605;24;24;0;0;24;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590046413;21;21;0;0;21;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590046454;15;15;0;0;15;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590046991;16;16;0;0;16;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590047023;47;47;0;0;47;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590047858;19;18;0;0;18;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590048039;53;53;0;0;53;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590055406;69;67;0;0;67;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590057006;249;249;0;0;249;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590060729;7;7;0;0;7;2022.11;X590048476;30DEC22;15:37:12
