"champ";"statut";"annee";"periode";"date du resultat";"ipe";libel;nb;nb1;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";Nb journées transmises;9834;775;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";Nb journées en erreur;0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";Nb journées avec sortie transfert ou mutation;102;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";Nb journées ES/EMS/SSIAD/SPASAD hors convention;0;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";Nb journées avec incohérences fichier de convention (cf tableaux [1.Q.10.CONV]);0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";Nb journées avec pbs de chainage;0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";Nb journées avec pbs de codage des variables bloquantes;0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";Nb journées non facturables à l'AM;0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";Nb journées valorisées;9732;775;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:38:01";="590048476";Nb journées transmises;17168;1942;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:01";="590048476";Nb journées en erreur;0;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:01";="590048476";Nb journées avec sortie transfert ou mutation;175;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:01";="590048476";Nb journées ES/EMS/SSIAD/SPASAD hors convention;0;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:01";="590048476";Nb journées avec incohérences fichier de convention (cf tableaux [1.Q.10.CONV]);0;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:01";="590048476";Nb journées avec pbs de chainage;0;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:01";="590048476";Nb journées avec pbs de codage des variables bloquantes;0;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:01";="590048476";Nb journées non facturables à l'AM;0;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:01";="590048476";Nb journées valorisées;16993;1942;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:43";="590780193";Nb journées transmises;21473;3171;2022.11;X590780193;30DEC22;11:03:01
