"champ";"statut";"annee";"periode";"date du resultat";"ipe";exotm;natass;sej_fact;tremb;taux;COUNT;PERCENT;count1;percent1;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";3 : Soins particuliers exonérés;41 : Accident du;1 Séjour facturable à l'AM;100;100;1;0.4329004329;282;2.8676021965;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";4 : Soins conformes au protocole ALD;10 : Maladie;1 Séjour facturable à l'AM;100;80;1;0.4329004329;286;2.9082774049;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";4 : Soins conformes au protocole ALD;10 : Maladie;1 Séjour facturable à l'AM;100;100;179;77.489177489;8443;85.855196258;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";5 : Assuré ou bénéficiaire exonéré (régime exonérant);10 : Maladie;1 Séjour facturable à l'AM;100;100;26;11.255411255;141;1.4338010982;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";C : Soins exonérés en codage CCAM du fait de la nature de l'acte, ou du dépassement du seuil;10 : Maladie;1 Séjour facturable à l'AM;100;100;1;0.4329004329;2;0.0203376042;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";0 : Pas d'exonération;10 : Maladie;1 Séjour facturable à l'AM;80;80;13;5.6277056277;170;1.7286963596;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";2 : Soins relatifs à un séjour > 30 jours;10 : Maladie;1 Séjour facturable à l'AM;80;80;5;2.1645021645;161;1.6371771405;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:41";="020000022";2 : Soins relatifs à un séjour > 30 jours;10 : Maladie;1 Séjour facturable à l'AM;80;100;5;2.1645021645;349;3.5489119382;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:58";="590048476";0 : Pas d'exonération;41 : Accident du;1 Séjour facturable à l'AM;100;100;3;0.2697841727;25;0.1456197577;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:58";="590048476";4 : Soins conformes au protocole ALD;10 : Maladie;1 Séjour facturable à l'AM;100;100;1001;90.017985612;15432;89.888164026;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:58";="590048476";0 : Pas d'exonération;10 : Maladie;1 Séjour facturable à l'AM;80;80;91;8.1834532374;676;3.9375582479;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:58";="590048476";2 : Soins relatifs à un séjour > 30 jours;10 : Maladie;1 Séjour facturable à l'AM;80;80;12;1.0791366906;651;3.7919384902;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:58";="590048476";2 : Soins relatifs à un séjour > 30 jours;10 : Maladie;1 Séjour facturable à l'AM;80;100;5;0.4496402878;384;2.2367194781;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:42";="590780193";0 : Pas d'exonération;30 : Maternité;1 Séjour facturable à l'AM;100;100;346;14.380714879;7506;36.135181976;2022.11;X590780193;30DEC22;11:03:01
