"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;diagp;eff_sej;eff_mon;dep22;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 15:38:04";="590048476";3400894512820;9451282;9451282;NXXXX00;C349;1;76;3103.84;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:45";="590780193";3400890009942;9000994;9000994;NARIM02;J159;1;90;15139.377;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:45";="590780193";3400890009942;9000994;9000994;NXXXX00;J159;1;90;15139.377;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:45";="590780193";3400890016223;9001622;9001622;CAVAL01;E740;19;243;284826.223;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:45";="590780193";3400894061007;9406100;9406100;NXXXX00;B250;1;2;1933.133;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:45";="590780193";3400894061007;9406100;9406100;NXXXX00;B259;1;10;9665.665;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:45";="590780193";3400894078036;9407803;9407803;CRIFA01;C61;1;28;149.5;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/22 15:00:55";="600100713";3400890009041;9000904;9000904;CSOTO01;C782;1;240;7549.92;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:55";="600100713";3400890009041;9000904;9000904;NXXXX01;C782;1;240;7549.92;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:55";="600100713";3400890018586;9001858;9001858;CSOTO01;C782;1;524;10056.888;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400894060925;9406092;9406092;NIMMU06;J841;1;8;1600.92;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400894060925;9406092;9406092;NIMMU06;Z942;2;10;2001.15;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400894060925;9406092;9406092;NIMMU07;Z942;1;16;3201.84;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400894061007;9406100;9406100;NIMMU06;J841;1;2;1940.72;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400894061007;9406100;9406100;NIMMU06;Z942;2;7;6792.52;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400894061007;9406100;9406100;NIMMU07;J841;1;2;1940.72;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400894061007;9406100;9406100;NIMMU07;Z942;1;7;6792.52;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 12:54:53";="800000069";3400892461458;9246145;9246145;NUBID05;H498;2;50;83.2;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:53";="800000069";3400894078036;9407803;9407803;CRIFA01;K703;1;58;310.88;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:53";="800000069";3400894501244;9450124;9450124;CDAPA01;C20;1;8;10.208;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:53";="800000069";3400894501244;9450124;9450124;CDAPA01;I743;1;18;26.028;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 10:53:49";="800000523";3400890007887;9000788;9000788;CACAL02;C913;2;70;7611.8;2022.11;X800000523;22DEC22;10:53:02
