"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;nb;nbok;montant;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:44";="020000022";3400892717524;9271752;9271752;22;22;271.084;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:44";="020000022";3400893834398;9383439;9383439;30;30;681.078;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:44";="020000022";3400894081975;9408197;9408197;79;79;13344.996;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:44";="020000022";3400894228431;9422843;9422843;204;204;19461.854;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:44";="020000022";3400894228721;9422872;9422872;21;21;2003.4;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:44";="020000022";3400894332909;9433290;9433290;88;88;2544.332;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:38:04";="590048476";3400892850627;9285062;9285062;68;68;3130.448;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:04";="590048476";3400892850795;9285079;9285079;17;17;872.1;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:04";="590048476";3400893527818;9352781;9352781;24;24;2030.094;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:04";="590048476";3400894449393;9444939;9444939;126;126;3737.37;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:04";="590048476";3400894449454;9444945;9444945;126;126;3663.408;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:45";="590780193";3400892505725;9250572;9250572;5;5;137.297;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:45";="590780193";3400894081975;9408197;9408197;47;47;7908.428;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:45";="590780193";3400894187356;9418735;9418735;1;1;116.956;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:45";="590780193";3400894228080;9422808;9422808;28;28;1228.304;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:45";="590780193";3400894231622;9423162;9423162;8;8;5997.916;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:45";="590780193";3400894449393;9444939;9444939;84;84;2814.018;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:38";="590782652";3400890008426;9000842;9000842;96;96;10987.2;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:38";="590782652";3400890008440;9000844;9000844;49;49;10932.88;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:38";="590782652";3400892353609;9235360;9235360;1;1;956.91;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:38";="590782652";3400892505725;9250572;9250572;48;48;1323.36;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:38";="590782652";3400893283868;9328386;9328386;66;66;2456.66;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:38";="590782652";3400893325254;9332525;9332525;55;55;112.97;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:38";="590782652";3400893519714;9351971;9351971;10;10;594.1;2022.11;X590782652;29DEC22;12:11:02
