"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;nombre;nb_nonval;nombre_et;nombre_pbind;nb_val;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 15:38:02";="590048476";3400890002943;9000294;9000294;I000372;554.214;0;0;0;554.214;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:02";="590048476";3400890002943;9000294;9000294;I000373;172.005;0;0;0;172.005;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:02";="590048476";3400890002943;9000294;9000294;I000374;228.368;0;0;0;228.368;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:02";="590048476";3400890002943;9000294;9000294;I999999;16.736;0;0;0;16.736;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890000994;9000099;9000099;I000031;7.75;0;0;0;7.75;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890000994;9000099;9000099;I000032;29;0;0;0;29;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890000994;9000099;9000099;I000036;9;0;0;0;9;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890000994;9000099;9000099;I999999;3;0;0;0;3;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890004022;9000402;9000402;I000372;1106.917;15.18;0;0;1091.737;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890004022;9000402;9000402;I000373;77.926;0;0;0;77.926;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890004022;9000402;9000402;I000374;556.688;0;0;0;556.688;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890004022;9000402;9000402;I999999;57.862;0;0;0;57.862;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890006576;9000657;9000657;I000465;98;0;0;0;98;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890006576;9000657;9000657;I000535;83;2;0;0;81;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890006576;9000657;9000657;I000536;22;0;0;0;22;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890006576;9000657;9000657;I000543;4;0;0;0;4;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890006576;9000657;9000657;I999999;25;0;0;0;25;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890010818;9001081;9001081;I000573;51;0;0;0;51;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890011006;9001100;9001100;I999999;1;0;0;0;1;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890011037;9001103;9001103;I999999;2;0;0;0;2;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890012997;9001299;9001299;I000355;64;0;0;0;64;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890012997;9001299;9001299;I000356;394;0;0;0;394;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400892182612;9218261;9218261;I000018;26;0;0;0;26;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400892197401;9219740;9219740;I000061;255;0;0;0;255;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400892197401;9219740;9219740;I000062;270;0;0;0;270;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400892932163;9293216;9293216;I000241;1001;0;0;0;1001;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400892933405;9293340;9293340;I000355;20;0;0;0;20;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400892933405;9293340;9293340;I000356;25;0;0;0;25;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400892992075;9299207;9299207;I000329;39;0;0;0;39;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400892992075;9299207;9299207;I000330;40;0;0;0;40;2022.11;X590780193;30DEC22;11:03:01
