"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;dep22;dep22_aut;nb22;ecart;dep22_val;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 15:38:02";="590048476";3400890002943;9000294;9000294;I000372;29830.132;45739.898478;554.214;7954.883125;37785.015125;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:02";="590048476";3400890002943;9000294;9000294;I000373;8341.663;13866.881308;172.005;2762.609154;11104.272154;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:02";="590048476";3400890002943;9000294;9000294;I000374;10149.585;17537.061904;228.368;3693.738452;13843.323452;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:02";="590048476";3400890002943;9000294;9000294;I999999;743.814;1247.451232;16.736;251.818616;995.632616;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890000994;9000099;9000099;I000031;1308.177;4808.131;7.75;1749.977;3058.154;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890000994;9000099;9000099;I000032;4895.113;17991.716;29;6548.3015;11443.4145;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890000994;9000099;9000099;I000036;1519.173;5583.636;9;2032.2315;3551.4045;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890000994;9000099;9000099;I999999;506.391;1861.212;3;677.4105;1183.8015;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890004022;9000402;9000402;I000372;61755.258;91051.228581;1091.737;14647.985291;76403.243291;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890004022;9000402;9000402;I000373;4407.967;6234.719042;77.926;913.376021;5321.343021;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890004022;9000402;9000402;I000374;31489.685;44689.034447;556.688;6599.6747235;38089.359724;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890004022;9000402;9000402;I999999;3273.036;4417.409758;57.862;572.186879;3845.222879;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890006576;9000657;9000657;I000465;435345.4;437053.344;98;853.972;436199.372;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890006576;9000657;9000657;I000535;359826.3;361237.968;81;705.834;360532.134;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890006576;9000657;9000657;I000536;97730.6;98114.016;22;191.708;97922.308;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890006576;9000657;9000657;I000543;17769.2;17838.912;4;34.856;17804.056;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890006576;9000657;9000657;I999999;111057.5;111493.2;25;217.85;111275.35;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890010818;9001081;9001081;I000573;157988.412;160326.609;51;1169.0985;159157.5105;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890011006;9001100;9001100;I999999;121.739;122.214;1;0.2375;121.9765;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890011037;9001103;9001103;I999999;121.74;122.214;2;0.237;121.977;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890012997;9001299;9001299;I000355;43158.528;43318.144;64;79.808;43238.336;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400890012997;9001299;9001299;I000356;265694.688;266677.324;394;491.318;266186.006;2022.11;X590780193;30DEC22;11:03:01
