"champ";"statut";"annee";"periode";"date du resultat";"ipe";libel;nb;nb1;nbsej;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:44";="020000022";Nb journées transmises;0;0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:44";="020000022";Nb journées en erreur;0;0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:44";="020000022";Nb journées avec sortie transfert ou mutation;0;0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:44";="020000022";Nb journées valorisées;0;0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:38:05";="590048476";Nb journées transmises;0;0;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:05";="590048476";Nb journées en erreur;0;0;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:05";="590048476";Nb journées avec sortie transfert ou mutation;0;0;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:05";="590048476";Nb journées valorisées;0;0;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:46";="590780193";Nb journées transmises;238;27;20;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:46";="590780193";Nb journées en erreur;0;0;0;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:46";="590780193";Nb journées avec sortie transfert ou mutation;12;0;0;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:46";="590780193";Nb journées valorisées;226;27;20;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:39";="590782652";Nb journées transmises;0;0;0;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:39";="590782652";Nb journées en erreur;0;0;0;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:39";="590782652";Nb journées avec sortie transfert ou mutation;0;0;0;2022.11;X590782652;29DEC22;12:11:02
