"champ";"statut";"annee";"periode";"date du resultat";"ipe";nb;lib;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:39";="800000093";72.81027668;1;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:39";="800000093";75;2;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:39";="800000093";248;3;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:39";="800000093";98.023715415;4;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:39";="800000093";2;5;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:39";="800000093";0.790513834;6;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";71.312128146;1;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";74;2;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";433;3;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";99.084668192;4;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";4;5;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";0.9153318078;6;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:33:53";="800000523";67.402573905;1;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:53";="800000523";73;2;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:53";="800000523";1481;3;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:53";="800000523";99.596503026;4;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:53";="800000523";6;5;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:53";="800000523";0.4034969738;6;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";72.687861272;1;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";79;2;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";172;3;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";99.421965318;4;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";0;5;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";0;6;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";73.28440367;1;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";76;2;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";95;3;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";87.155963303;4;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";0;5;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";0;6;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:29:21";="800000069";66.582417582;1;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:21";="800000069";69;2;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:21";="800000069";273;3;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:21";="800000069";100;4;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:21";="800000069";0;5;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:21";="800000069";0;6;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:21";="590782652";71.495525727;1;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:21";="590782652";72;2;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:21";="590782652";860;3;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:21";="590782652";96.196868009;4;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:21";="590782652";0;5;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:21";="590782652";0;6;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:08";="020000022";67.356;1;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:08";="020000022";67;2;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:08";="020000022";250;3;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:08";="020000022";100;4;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:08";="020000022";0;5;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:08";="020000022";0;6;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/01 15:49:51";="800000085";69.720207254;1;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:49:51";="800000085";73;2;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:49:51";="800000085";139;3;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:49:51";="800000085";72.020725389;4;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:49:51";="800000085";0;5;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:49:51";="800000085";0;6;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/02 14:56:11";="590048476";75.00082713;1;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:11";="590048476";77;2;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:11";="590048476";1209;3;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:11";="590048476";100;4;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:11";="590048476";0;5;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:11";="590048476";0;6;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 15:56:39";="800000028";71.597122302;1;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:39";="800000028";73;2;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:39";="800000028";274;3;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:39";="800000028";98.561151079;4;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:39";="800000028";3;5;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:39";="800000028";1.0791366906;6;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:14:56";="590780193";50.551112631;1;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:14:56";="590780193";56;2;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:14:56";="590780193";2651;3;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:14:56";="590780193";98.770491803;4;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:14:56";="590780193";4;5;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:14:56";="590780193";0.1490312966;6;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/13 16:00:41";="600100721";68.368932039;1;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:41";="600100721";72;2;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:41";="600100721";309;3;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:41";="600100721";100;4;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:41";="600100721";0;5;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:41";="600100721";0;6;2022.12;X600100721;13FEB23;16:00:35
