"champ";"statut";"annee";"periode";"date du resultat";"ipe";dmpa;N;nbj;pctj;nbsej;nbj2;pctcum;code;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";R53;84;825;16.424447541;51;280;16.424447541;R53;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";J96;76;694;13.816444356;48;41;30.240891897;J96;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";R26;34;583;11.606609596;14;158;41.847501493;R26;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";E46;50;523;10.41210432;26;182;52.259605813;E46;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";R13;20;381;7.5851085009;8;78;59.844714314;R13;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";C79;13;230;4.5789368903;5;2;64.423651204;C79;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";C14;8;195;3.8821421461;2;0;68.305793351;C14;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";K42;7;178;3.5436989847;1;0;71.849492335;K42;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";G81;8;152;3.0260800319;3;0;74.875572367;G81;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";N31;5;148;2.9464463468;1;148;77.822018714;N31;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";80%;276;3494;;134;508;;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";Tot;352;4401;;181;583;;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";C34;45;1038;16.323321277;29;111;16.323321277;C34;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";C78;36;692;10.882214185;20;534;27.205535462;C78;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";E44;12;418;6.5733605913;8;3;33.778896053;E44;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";R06;15;254;3.9943387325;10;127;37.773234785;R06;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";Z93;8;238;3.7427268438;6;0;41.515961629;Z93;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";J12;16;234;3.6798238717;13;6;45.195785501;J12;2022.12;X600100713;26JAN23;9:22:12
