"champ";"statut";"annee";"periode";"date du resultat";"ipe";acte;nb;nbocc;nbsej;nbseq;N;pctsej;pctseq;pctsseq;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:45";="800000093";Total;;;0;0;0;0;0;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";GLLD017;875;875;63;85;85;14.416475973;12.667660209;12.667660209;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";HSLD001;532;532;16;23;23;3.6613272311;3.4277198212;3.4277198212;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";HSLF002;441;441;17;36;36;3.8901601831;5.3651266766;5.3651266766;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";ANMP001;193;193;155;193;193;35.469107551;28.763040238;28.763040238;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";YYYY600;19;19;17;18;18;3.8901601831;2.6825633383;2.6825633383;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";HSLF001;15;15;1;1;1;0.2288329519;0.1490312966;0.1490312966;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";ZBQK002;14;14;9;12;12;2.0594965675;1.7883755589;1.7883755589;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";ZZQH033;10;10;9;9;9;2.0594965675;1.3412816692;1.3412816692;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";ACQJ002;4;4;3;4;4;0.6864988558;0.5961251863;0.5961251863;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";DZQM006;2;2;2;2;2;0.4576659039;0.2980625931;0.2980625931;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";HBQK002;2;2;2;2;2;0.4576659039;0.2980625931;0.2980625931;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";MAQK003;2;2;2;2;2;0.4576659039;0.2980625931;0.2980625931;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";NDQK001;2;2;2;2;2;0.4576659039;0.2980625931;0.2980625931;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";ZCQK004;2;2;2;2;2;0.4576659039;0.2980625931;0.2980625931;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";ACQK001;1;1;1;1;1;0.2288329519;0.1490312966;0.1490312966;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";DAQL002;1;1;1;1;1;0.2288329519;0.1490312966;0.1490312966;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";ECQH010;1;1;1;1;1;0.2288329519;0.1490312966;0.1490312966;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";GGHB001;1;1;1;1;1;0.2288329519;0.1490312966;0.1490312966;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";JAQM004;1;1;1;1;1;0.2288329519;0.1490312966;0.1490312966;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";JDLD001;1;1;1;1;1;0.2288329519;0.1490312966;0.1490312966;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";KCQM001;1;1;1;1;1;0.2288329519;0.1490312966;0.1490312966;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";LHQJ001;1;1;1;1;1;0.2288329519;0.1490312966;0.1490312966;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";MAQK001;1;1;1;1;1;0.2288329519;0.1490312966;0.1490312966;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";QEQK005;1;1;1;1;1;0.2288329519;0.1490312966;0.1490312966;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";QEQM001;1;1;1;1;1;0.2288329519;0.1490312966;0.1490312966;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";ZBQH001;1;1;1;1;1;0.2288329519;0.1490312966;0.1490312966;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";ZCQH001;1;1;1;1;1;0.2288329519;0.1490312966;0.1490312966;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";ZCQM008;1;1;1;1;1;0.2288329519;0.1490312966;0.1490312966;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";Total;2127;2127;243;331;331;55.606407323;49.329359165;49.329359165;2022.12;X600100713;26JAN23;9:22:12
