"champ";"statut";"annee";"periode";"date du resultat";"ipe";nat_sej;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;nbcim;nbsej;pctcum;mpcacodm;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:53";="800000093";07;52;37;397;97.542997543;40;8.919395466;3.8866498741;76.85138539;4;34;97.542997543;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:53";="800000093";08;3;3;8;1.9656019656;30;14.25;6.5;84;2;3;99.508599509;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:53";="800000093";04;1;1;2;0.4914004914;10;16;8;98;1;1;100;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:53";="800000093";99;56;41;407;;40;9.058968059;3.9582309582;77.095823096;4;38;100;83.928571429;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:32";="600100713";05;17;17;236;78.405315615;50;7.343220339;2.7330508475;72.792372881;2;12;78.405315615;;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:32";="600100713";04;5;5;50;16.611295681;40;9;2.96;88.2;1;5;95.016611296;;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:32";="600100713";07;2;2;15;4.9833887043;60;4;2;38;1;1;100;;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:32";="600100713";99;24;24;301;;50;7.4518272425;2.7342192691;73.617940199;2;18;100;58.333333333;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:10";="800000523";08;71;37;1167;78.322147651;30;13.825192802;4.3744644387;78.35218509;2;25;78.322147651;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:10";="800000523";04;19;12;323;21.677852349;20;15.117647059;6.3498452012;88.650154799;2;7;100;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:10";="800000523";99;90;49;1490;;30;14.105369128;4.8026845638;80.584563758;2;32;100;97.777777778;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:16";="800000036";07;23;21;166;100;40;9.3072289157;4.5963855422;83.126506024;4;20;100;;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:16";="800000036";99;23;21;166;;40;9.3072289157;4.5963855422;83.126506024;4;20;100;34.782608696;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:44:09";="800000077";07;3;3;40;93.023255814;40;16;8;90.8;1;3;93.023255814;;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:09";="800000077";08;2;2;3;6.976744186;40;14;4.3333333333;88.666666667;2;2;100;;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:09";="800000077";99;5;5;43;;40;15.860465116;7.7441860465;90.651162791;3;5;100;100;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:29:41";="800000069";05;4;3;36;81.818181818;40;6.5555555556;2;87.055555556;1;3;81.818181818;;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:41";="800000069";04;1;1;8;18.181818182;30;15;2;100;1;1;100;;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:41";="800000069";99;5;4;44;;40;8.0909090909;2;89.409090909;2;4;100;100;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:40";="590782652";04;21;16;181;64.874551971;30;14.790055249;4.8232044199;88.828729282;2;7;64.874551971;;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:40";="590782652";08;14;10;78;27.956989247;50;11.025641026;3.4230769231;86.08974359;1;6;92.831541219;;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:40";="590782652";05;2;2;11;3.9426523297;40;13;5.2727272727;89.545454545;1;2;96.774193548;;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:40";="590782652";07;1;1;9;3.2258064516;60;5;4;67;1;1;100;;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:40";="590782652";99;38;29;279;;40;13.35125448;4.4229390681;87.387096774;2;16;100;57.894736842;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:22";="020000022";05;8;1;207;85.537190083;30;12;4;96.502415459;1;1;85.537190083;;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:22";="020000022";04;3;2;35;14.462809917;30;13.342857143;6;96;1;1;100;;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:22";="020000022";99;11;3;242;;30;12.194214876;4.2892561983;96.429752066;1;2;100;100;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/01 15:50:08";="800000085";04;2;1;29;39.726027397;20;16;8;89;1;1;39.726027397;;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:50:08";="800000085";07;2;2;24;32.876712329;30;13.666666667;6.6666666667;74;1;2;72.602739726;;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:50:08";="800000085";08;5;4;20;27.397260274;30;13.5;4.6;89;1;2;100;;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:50:08";="800000085";99;9;7;73;;30;14.547945205;6.6301369863;84.068493151;1;5;100;100;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/02 14:56:26";="590048476";04;43;28;530;68.652849741;30;14.813207547;4.4471698113;86.19245283;3;19;68.652849741;;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:26";="590048476";07;21;21;175;22.668393782;40;12.702857143;4.3428571429;85.057142857;1;21;91.321243523;;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:26";="590048476";08;6;3;49;6.3471502591;40;14.489795918;3.7346938776;84.367346939;2;3;97.668393782;;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:26";="590048476";05;2;2;18;2.3316062176;40;15;5;83.5;1;2;100;;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:26";="590048476";99;72;54;772;;40;14.31865285;4.3911917098;85.756476684;3;45;100;63.888888889;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 15:56:56";="800000028";04;3;2;11;100;30;14.727272727;4.8181818182;90;1;2;100;;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:56";="800000028";99;3;2;11;;30;14.727272727;4.8181818182;90;1;2;100;0;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:15:15";="590780193";04;5;3;89;100;30;14.842696629;4;61.662921348;1;2;100;;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:15";="590780193";99;5;3;89;;30;14.842696629;4;61.662921348;1;2;100;100;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/13 16:00:58";="600100721";05;3;1;48;62.337662338;40;12;8;63;1;1;62.337662338;;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:58";="600100721";07;1;1;17;22.077922078;30;16;8;90;1;1;84.415584416;;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:58";="600100721";08;1;1;12;15.584415584;40;12;4;78;1;1;100;;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:58";="600100721";99;5;3;77;;40;12.883116883;7.3766233766;71.298701299;1;3;100;20;2022.12;X600100721;13FEB23;16:00:35
