"champ";"statut";"annee";"periode";"date du resultat";"ipe";libel;diagp;eff_sej;eff_mon;dep;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/26 09:22:31";="600100713";AFSTYLA;G04;1;19;22696.83;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:31";="600100713";AZACITIDINE;C92;10;80;4476.064;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:31";="600100713";PRIVIGEN;G60;10;60;87040.285;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:08";="800000523";AMBISOME;C84;4;35;4293.8;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:08";="800000523";AMBISOME;D71;1;10;1226.8;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:08";="800000523";CASPOFUNGINE;Z94;1;2;76.58;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:08";="800000523";CLAIRYG;G60;1;39;32569.9;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:08";="800000523";CLAIRYG;G04;1;10;8423.25;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:08";="800000523";DIFICLIR;J15;1;7;458.5;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:08";="800000523";DIFICLIR;C91;1;4;262;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:08";="800000523";ZAVICEFTA;E84;2;116;13620.36;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:08";="800000523";ZAVICEFTA;G35;1;62;7279.74;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:14";="800000036";AMBISOME;C95;6;34;4171.082;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:14";="800000036";ZAVICEFTA;N11;1;39;4579.185;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 16:29:38";="800000069";CASPOFUNGINE;C60;2;33;1431.969;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:38";="800000069";ZAVICEFTA;C60;2;216;25361.64;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:38";="800000069";ZAVICEFTA;B44;1;72;8453.88;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:38";="800000069";ZAVICEFTA;K50;1;17;1996.055;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:38";="800000069";ZAVICEFTA;N45;1;14;1643.81;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:37";="590782652";AZACITIDINE;D46;27;259;14238.7;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:37";="590782652";AZACITIDINE;C92;22;204.474;11075.382;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:37";="590782652";AZACITIDINE;C93;3;34;1735.7;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:37";="590782652";AZACITIDINE;C95;1;10;510.5;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/02/02 14:56:24";="590048476";AZACITIDINE;D46;77;550.53;29162.393;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:24";="590048476";AZACITIDINE;C93;57;491.317;23036.639;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:24";="590048476";AZACITIDINE;C92;7;45.781;2034.685;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:24";="590048476";AZACITIDINE;C95;1;2.736;121.598;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:24";="590048476";CASPOFUNGINE;N10;1;14;424.48;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:24";="590048476";CASPOFUNGINE;K65;1;5;151.6;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 15:56:53";="800000028";AMBISOME;I33;1;63;8879.95;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:53";="800000028";FETCROJA;S82;1;450;65163.84;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:53";="800000028";PREVYMIS;Z94;2;44;14016.26;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:53";="800000028";ZAVICEFTA;B20;1;29;3416.58;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:53";="800000028";ZAVICEFTA;A41;1;22;2591.89;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";AMBISOME;C90;1;26;3177.196;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";AZACITIDINE;D46;172;1276.176;72496.174;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";AZACITIDINE;C92;108;744.698;42385.712;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";AZACITIDINE;Z51;15;123.093;6962.896;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";AZACITIDINE;C90;7;64.393;3642.465;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";AZACITIDINE;D47;3;17.966;1016.265;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";BORTEZOMIB;C90;150;120.626;6667.483;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";BORTEZOMIB;E85;1;1.533;84.734;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";CEREZYME;Z51;45;585;732377.997;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";CRESEMBA;C90;1;21;2776.062;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";CUTAQUIG;R52;3;6;973.89;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";DARZALEX;C90;259;259;1150555.7;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";DARZALEX;E85;1;1;4442.3;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";ERBITUX;C18;2;2.925;2352.912;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";GAMMANORM;R52;10;19;3327.091;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";HERCEPTIN;C50;28;28;33585.412;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";KEYTRUDA;C15;12;24;63280.8;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";KEYTRUDA;C34;12;24;63280.8;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";KEYTRUDA;C20;7;22;58007.4;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";KEYTRUDA;C18;5;18;47460.6;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";KEYTRUDA;C43;4;8;21093.6;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";KEYTRUDA;C81;4;8;21093.6;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";KEYTRUDA;Z51;2;4;10546.8;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";KYPROLIS;C90;92;187.505;180015.523;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";MVASI;C56;27;69.313;11655.12;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";MYOZYME;E74;50;1087;524665.501;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";ONPATTRO;E85;17;34;249307.414;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";OPDIVO;C43;36;72;177946.596;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";OPDIVO;C34;16;16;39543.696;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";PHESGO;C50;54;54;167281.848;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";PHESGO;C22;6;6;18586.872;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";SOLIRIS;Z51;11;44;152192.997;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";SOLIRIS;D59;13;39;134898.335;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";TYSABRI;G35;252;487;355591.265;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:13";="590780193";TYSABRI;Z51;45;80;63833.728;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/13 16:00:56";="600100721";CASPOFUNGINE;C92;1;15;574.31;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:56";="600100721";DIFICLIR;C71;1;25;1637.4;2022.12;X600100721;13FEB23;16:00:35
