"champ";"statut";"annee";"periode";"date du resultat";"ipe";mpcad;N;nbseq;nbj;ik;avqphysm;avqpsym;agem;nbsej;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";99;0;0;;;;;;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";01;19;19;238;30;11.067226891;3.2983193277;66.008403361;14;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";07;11;11;163;30;8.4846625767;3.0429447853;39.257668712;5;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";14;1;1;51;30;15;7;58;1;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";09;1;1;29;20;16;6;88;1;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";02;2;2;21;40;11.80952381;3.8571428571;58.285714286;2;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";08;1;1;21;30;15;7;60;1;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";06;2;2;19;40;10;2;61;1;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";04;2;2;17;30;9.1764705882;2.3529411765;55.941176471;2;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";99;38;38;559;30;11.010733453;3.7889087657;57.626118068;24;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";14;17;6;365;30;16;4.0630136986;50.58630137;1;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";99;17;6;365;30;16;4.0630136986;50.58630137;1;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:01";="800000036";99;0;0;;;;;;0;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:43:58";="800000077";99;0;0;;;;;;0;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";01;49;36;391;40;10.225063939;3.6624040921;69.227621483;23;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";11;23;10;347;50;9.4005763689;2.2968299712;58.07204611;6;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";12;14;5;295;50;11.53559322;2.2440677966;85.491525424;4;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";14;17;11;205;40;13.390243902;3.1658536585;69.770731707;10;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";09;15;9;185;50;9.1837837838;2.5513513514;41.464864865;8;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";07;16;14;135;40;12.17037037;2.9333333333;65.088888889;13;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";13;14;10;110;50;9.9545454545;2.4909090909;69.118181818;5;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";02;8;6;52;40;10.865384615;3.9230769231;65.269230769;3;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";05;3;2;23;30;15;2;77;1;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";03;2;2;19;40;11;3;34;2;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";17;2;1;13;50;8;2;57;1;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";06;1;1;3;30;15;2;77;1;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";99;139;90;1778;40;10.749718785;2.8239595051;66.133858268;62;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:24";="590782652";07;88;72;525;30;13.257142857;2.7447619048;68.022857143;32;2022.12;X590782652;30JAN23;11:42:15
