"champ";"statut";"annee";"periode";"date du resultat";"ipe";combmpc;mpcp;mpca;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;nbcim;pctcum;nbsej;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";0900;09;00;46;22;799;13.202247191;50;4.9386733417;2.2377972466;61.898623279;27;13.202247191;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";0400;04;00;44;28;457;7.5512227363;40;11.277899344;4.0831509847;75.450765864;27;20.753469927;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";0406;04;06;24;11;432;7.1381361533;30;15.578703704;6.0185185185;88.446759259;14;27.891606081;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";0401;04;01;36;27;366;6.0475875744;30;12.013661202;3.5300546448;70.557377049;28;33.939193655;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";0301;03;01;44;35;308;5.0892267019;30;9.2045454545;3.8311688312;75.321428571;37;39.028420357;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";0914;09;14;17;9;286;4.7257105089;40;12.475524476;3.0769230769;70.398601399;19;43.754130866;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";0402;04;02;32;24;279;4.6100462657;30;14.551971326;5.3333333333;87.304659498;25;48.364177132;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";0214;02;14;19;12;265;4.3787177792;30;13.373584906;5.6339622642;86.430188679;17;52.742894911;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";0314;03;14;21;13;263;4.3456708526;30;13.16730038;3.9619771863;78.205323194;24;57.088565763;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";0300;03;00;27;18;262;4.3291473893;60;5.1335877863;2.0763358779;50.812977099;21;61.417713153;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";0601;06;01;9;1;259;4.2795769993;40;16;6;93.536679537;3;65.697290152;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";0409;04;09;12;7;206;3.4038334435;30;11.378640777;4.213592233;63.640776699;10;69.101123596;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";1409;14;09;8;2;195;3.222075347;40;12.984615385;2;76.179487179;7;72.323198942;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";0109;01;09;7;1;178;2.9411764706;30;11;2;54.938202247;3;75.264375413;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";0714;07;14;7;2;169;2.7924653007;40;13;2;60.816568047;4;78.056840714;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";;98;;353;212;4724;;40;10.861680281;3.7975651425;73.133996683;142;78.056840714;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";;99;;486;301;6052;;40;10.888962327;3.6556510245;73.216953073;172;100;253;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";0400;04;00;94;94;2118;20.357554787;30;13.058545798;5.1487252125;78.151558074;97;20.357554787;;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";0900;09;00;64;64;1727;16.599384852;50;7.2258251303;2.6479444123;59.580345996;73;36.956939639;;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";0704;07;04;181;181;1079;10.37101115;30;14.833178869;6.4142724745;80.323447637;141;47.327950788;;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";0800;08;00;30;30;678;6.5167243368;50;5.0545722714;2.1651917404;72.995575221;24;53.844675125;;2022.12;X600100713;26JAN23;9:22:12
