"champ";"statut";"annee";"periode";"date du resultat";"ipe";sej_fact;mam0;COUNT;PERCENT;count1;percent1;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:45";="800000093";0 Séjour non facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;3;1.185770751;19;0.313945803;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:45";="800000093";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;246;97.233201581;5989;98.959021811;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:45";="800000093";2 En attente de décision sur le taux de prise en charge du patient;montant remboursé par l'AM numérique;4;1.581027668;44;0.727032386;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:24";="600100713";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;437;100;10404;100;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:00";="800000523";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;1478;99.394754539;95782;99.990604545;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:00";="800000523";1 Séjour facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;9;0.6052454607;9;0.0093954547;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:06";="800000036";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;173;100;5266;100;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:44:02";="800000077";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;109;100;3942;100;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:29:30";="800000069";1 Séjour facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;245;89.743589744;8161;79.596215742;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:30";="800000069";2 En attente de décision sur le taux de prise en charge du patient;montant remboursé par l'AM non numérique ou à 0;28;10.256410256;2092;20.403784258;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:29";="590782652";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;892;99.776286353;16924;99.988183859;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:29";="590782652";1 Séjour facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;2;0.2237136465;2;0.0118161408;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:15";="020000022";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;248;99.2;10580;99.981099981;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:15";="020000022";1 Séjour facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;2;0.8;2;0.0189000189;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/01 15:49:59";="800000085";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;192;99.481865285;7026;99.985769176;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:49:59";="800000085";1 Séjour facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;1;0.518134715;1;0.014230824;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/02 14:56:18";="590048476";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;1204;99.58643507;18758;99.973351809;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:18";="590048476";1 Séjour facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;5;0.4135649297;5;0.0266481906;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 15:56:45";="800000028";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;276;99.28057554;8957;99.599688647;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:45";="800000028";1 Séjour facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;2;0.7194244604;36;0.4003113533;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:15:05";="590780193";0 Séjour non facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;44;1.6369047619;690;2.9662109879;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:05";="590780193";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;2640;98.214285714;22471;96.599604505;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:05";="590780193";1 Séjour facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;3;0.1116071429;25;0.1074714126;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:05";="590780193";2 En attente de décision sur le taux de prise en charge du patient;montant remboursé par l'AM non numérique ou à 0;1;0.037202381;76;0.3267130943;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/13 16:00:49";="600100721";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;309;100;7628;100;2022.12;X600100721;13FEB23;16:00:35
