"champ";"statut";"annee";"periode";"date du resultat";"ipe";contrat;COUNT;PERCENT;count1;percent1;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:46";="800000093";Non renseigné;253;100;6052;100;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:25";="600100713";Non renseigné;437;100;10404;100;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:01";="800000523";Non renseigné;1487;100;95791;100;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:07";="800000036";Non renseigné;171;98.843930636;5251;99.715153817;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:07";="800000036";89 : Bénéficiaire de la CMU complémentaire (en cours);2;1.1560693642;15;0.2848461831;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:44:03";="800000077";Non renseigné;106;97.247706422;3900;98.934550989;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:03";="800000077";89 : Bénéficiaire de la CMU complémentaire (en cours);3;2.752293578;42;1.0654490107;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:29:31";="800000069";Non renseigné;257;94.139194139;9582;93.455573978;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:31";="800000069";89 : Bénéficiaire de la CMU complémentaire (en cours);16;5.8608058608;671;6.5444260217;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:30";="590782652";Non renseigné;883;98.769574944;16538;97.707668675;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:30";="590782652";87 : Sortants du dispositif CMUC (géré par un organisme complémentaire);1;0.1118568233;18;0.1063452676;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:30";="590782652";89 : Bénéficiaire de la CMU complémentaire (en cours);10;1.1185682327;370;2.185986057;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:15";="020000022";Non renseigné;234;93.6;10449;98.743148743;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:15";="020000022";89 : Bénéficiaire de la CMU complémentaire (en cours);16;6.4;133;1.2568512569;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/01 15:50:00";="800000085";Non renseigné;193;100;7027;100;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/02 14:56:19";="590048476";Non renseigné;1209;100;18763;100;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 15:56:46";="800000028";Non renseigné;278;100;8993;100;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:15:06";="590780193";Non renseigné;2618;97.395833333;21999;94.570544235;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:06";="590780193";89 : Bénéficiaire de la CMU complémentaire (en cours);70;2.6041666667;1263;5.4294557648;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/13 16:00:50";="600100721";Non renseigné;304;98.381877023;7522;98.6103828;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:50";="600100721";89 : Bénéficiaire de la CMU complémentaire (en cours);5;1.6181229773;106;1.3896171998;2022.12;X600100721;13FEB23;16:00:35
