"champ";"statut";"annee";"periode";"date du resultat";"ipe";libel;annee;mois;COUNT;PERCENT;noligne;nonval;count1;evol;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nombre de RAPSS transmis;2022;1;35;7.2016460905;1;;71;-50.70422535;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb de journées de présence;2022;1;426;;3;;831;-48.73646209;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nombre de RAPSS transmis;2022;2;36;7.4074074074;1;;39;-7.692307692;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb de journées de présence;2022;2;398;;3;;474;-16.03375527;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nombre de RAPSS transmis;2022;3;36;7.4074074074;1;;48;-25;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb de journées de présence;2022;3;555;;3;;553;0.3616636528;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nombre de RAPSS transmis;2022;4;44;9.0534979424;1;;37;18.918918919;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb de journées de présence;2022;4;605;;3;;617;-1.944894652;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nombre de RAPSS transmis;2022;5;31;6.378600823;1;;43;-27.90697674;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb de journées de présence;2022;5;434;;3;;641;-32.29329173;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nombre de RAPSS transmis;2022;6;35;7.2016460905;1;;40;-12.5;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb de journées de présence;2022;6;379;;3;;525;-27.80952381;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nombre de RAPSS transmis;2022;7;49;10.082304527;1;;31;58.064516129;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb de journées de présence;2022;7;572;;3;;393;45.547073791;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nombre de RAPSS transmis;2022;8;42;8.6419753086;1;;27;55.555555556;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb de journées de présence;2022;8;469;;3;;291;61.16838488;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nombre de RAPSS transmis;2022;9;41;8.4362139918;1;;42;-2.380952381;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb de journées de présence;2022;9;468;;3;;513;-8.771929825;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nombre de RAPSS transmis;2022;10;48;9.8765432099;1;;32;50;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb de journées de présence;2022;10;603;;3;;518;16.409266409;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nombre de RAPSS transmis;2022;11;43;8.8477366255;1;;33;30.303030303;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb de journées de présence;2022;11;572;;3;;525;8.9523809524;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nombre de RAPSS transmis;2022;12;46;9.4650205761;1;;41;12.195121951;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb de journées de présence;2022;12;571;;3;;466;22.532188841;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nombre de RAPSS transmis;2022;1;62;9.2399403875;1;;41;51.219512195;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb de journées de présence;2022;1;514;;3;;351;46.438746439;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nombre de RAPSS transmis;2022;2;53;7.8986587183;1;;59;-10.16949153;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb de journées de présence;2022;2;613;;3;;764;-19.76439791;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nombre de RAPSS transmis;2022;3;51;7.6005961252;1;;59;-13.55932203;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb de journées de présence;2022;3;781;;3;;948;-17.61603376;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nombre de RAPSS transmis;2022;4;57;8.4947839046;1;;61;-6.557377049;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb de journées de présence;2022;4;918;;3;;1176;-21.93877551;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nombre de RAPSS transmis;2022;5;52;7.7496274218;1;;65;-20;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb de journées de présence;2022;5;820;;3;;1272;-35.53459119;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nombre de RAPSS transmis;2022;6;58;8.6438152012;1;;56;3.5714285714;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb de journées de présence;2022;6;1159;;3;;918;26.252723312;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nombre de RAPSS transmis;2022;7;50;7.4515648286;1;;42;19.047619048;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb de journées de présence;2022;7;654;;3;;867;-24.56747405;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nombre de RAPSS transmis;2022;8;43;6.4083457526;1;;54;-20.37037037;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb de journées de présence;2022;8;639;;3;;900;-29;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nombre de RAPSS transmis;2022;9;39;5.8122205663;1;;48;-18.75;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb de journées de présence;2022;9;923;;3;;797;15.809284818;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nombre de RAPSS transmis;2022;10;57;8.4947839046;1;;55;3.6363636364;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb de journées de présence;2022;10;1041;;3;;1081;-3.700277521;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nombre de RAPSS transmis;2022;11;54;8.0476900149;1;;43;25.581395349;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb de journées de présence;2022;11;660;;3;;682;-3.225806452;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nombre de RAPSS transmis;2022;12;95;14.157973174;1;;87;9.1954022989;2022.12;X600100713;26JAN23;9:22:12
