"champ";"statut";"annee";"periode";"date du resultat";"ipe";libel;noligne;nb;nb1;evol;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nombre de RAPSS (hors GHT 99);1;486;484;0.4132231405;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb de journées de prise en charge;2;6052;6347;-4.647865133;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Dont nombre de journées prise en charge au domicile du patient;3;4623;4603;0.4344992396;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Dont nombre de journées prise en charge en ESMS;4;755;821;-8.038976857;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Dont nombre de journées prise en charge en EHPAD;5;755;821;-8.038976857;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Dont nombre de journées prise en charge en EMS hors EHPAD;6;0;0;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Dont nombre de journées prise en charge en ES;7;0;0;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Dont nombre de journées prise en charge en SSIAD/SPASAD;8;0;0;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb de séquences terminées dans la période;9;288;300;-4;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb de séquences non terminées dans la période;10;13;12;8.3333333333;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb de séjours terminés dans la période;11;240;238;0.8403361345;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb de séjours non terminés dans la période;12;13;12;8.3333333333;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb de patients (1);13;195;193;1.0362694301;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb moyen de modes de prise en charge associés;14;1;1;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb moyen de diagnostics (DCMPP, DCMPA, DA);15;3.0164609053;2.9566115702;2.024254241;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Durée moyenne des sous-séquences;16;12.452674897;13.113636364;-5.04026075;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Durée moyenne des séquences terminées;17;21.545138889;23.856666667;-9.689231987;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Durée moyenne des séjours terminés;18;25.866666667;30.508403361;-15.2146169;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:40";="800000093";Nb moyen de séjours par patient (1);19;1.2974358974;1.2901554404;0.5643085161;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nombre de RAPSS (hors GHT 99);1;671;670;0.1492537313;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb de journées de prise en charge;2;10404;11867;-12.32830538;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Dont nombre de journées prise en charge au domicile du patient;3;8856;10909;-18.81932349;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Dont nombre de journées prise en charge en ESMS;4;974;677;43.870014771;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Dont nombre de journées prise en charge en EHPAD;5;744;505;47.326732673;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Dont nombre de journées prise en charge en EMS hors EHPAD;6;5;59;-91.52542373;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Dont nombre de journées prise en charge en ES;7;0;2;-100;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Dont nombre de journées prise en charge en SSIAD/SPASAD;8;225;111;102.7027027;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb de séquences terminées dans la période;9;643;638;0.7836990596;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb de séquences non terminées dans la période;10;28;31;-9.677419355;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb de séjours terminés dans la période;11;407;425;-4.235294118;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb de séjours non terminés dans la période;12;30;31;-3.225806452;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb de patients (1);13;350;352;-0.568181818;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb moyen de modes de prise en charge associés;14;1.0581222057;1.0746268657;-1.535850306;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb moyen de diagnostics (DCMPP, DCMPA, DA);15;2.0923994039;2.123880597;-1.482248728;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Durée moyenne des sous-séquences;16;15.505216095;17.711940299;-12.45896365;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Durée moyenne des séquences terminées;17;16.32970451;17.826018809;-8.39399035;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Durée moyenne des séjours terminés;18;27.56019656;25.990588235;6.0391412102;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb moyen de séjours par patient (1);19;1.2457142857;1.2926136364;-3.628257457;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nombre de RAPSS (hors GHT 99);1;5411;5181;4.4392974329;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nb de journées de prise en charge;2;95791;99988;-4.1975037;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Dont nombre de journées prise en charge au domicile du patient;3;87263;93992;-7.159119925;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Dont nombre de journées prise en charge en ESMS;4;5837;4329;34.834834835;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Dont nombre de journées prise en charge en EHPAD;5;1584;2111;-24.96447181;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Dont nombre de journées prise en charge en EMS hors EHPAD;6;14;66;-78.78787879;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Dont nombre de journées prise en charge en ES;7;0;0;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Dont nombre de journées prise en charge en SSIAD/SPASAD;8;4239;2152;96.979553903;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nb de séquences terminées dans la période;9;2484;2097;18.454935622;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nb de séquences non terminées dans la période;10;231;275;-16;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nb de séjours terminés dans la période;11;1256;1245;0.8835341365;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nb de séjours non terminés dans la période;12;231;275;-16;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nb de patients (1);13;923;892;3.4753363229;2022.12;X800000523;26JAN23;11:33:47
