"champ";"statut";"annee";"periode";"date du resultat";"ipe";mpcp;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;mpcacodm;nbcim;nbsej;nbsejc;dms;pctcum;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:55";="800000093";;;;;;;;;;;;;;;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:55";="800000093";99;0;0;;;;;;;;0;0;0;;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:35";="600100713";09;1;1;46;100;30;15;4;44;100;1;1;1;46;100;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:35";="600100713";;;;;;;;;;;0;;;;;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:35";="600100713";99;1;1;46;;30;15;4;44;100;1;1;1;46;100;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:13";="800000523";;;;;;;;;;;;;;;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:13";="800000523";99;0;0;;;;;;;;0;0;0;;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:19";="800000036";;;;;;;;;;;;;;;;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:19";="800000036";99;0;0;;;;;;;;0;0;0;;;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:44:11";="800000077";;;;;;;;;;;;;;;;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:11";="800000077";99;0;0;;;;;;;;0;0;0;;;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:29:45";="800000069";06;3;3;78;44.318181818;40;12.166666667;4.7820512821;75.923076923;100;3;3;;;44.318181818;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:45";="800000069";14;3;1;35;19.886363636;60;7;2;75;100;1;1;1;35;64.204545455;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:45";="800000069";09;2;1;32;18.181818182;60;4;2;82;0;1;1;;;82.386363636;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:45";="800000069";04;1;1;31;17.613636364;50;10;2;69;0;1;1;;;100;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:45";="800000069";;;;;;;;;;;0;;;;;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:45";="800000069";99;9;6;176;;50;9.2727272727;3.2329545455;75.625;66.666666667;6;6;1;35;100;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:44";="590782652";;;;;;;;;;;;;;;;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:44";="590782652";99;0;0;;;;;;;;0;0;0;;;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:25";="020000022";04;16;5;331;100;30;10.888217523;4;73.453172205;91.540785498;1;3;2;154;100;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:25";="020000022";;;;;;;;;;;0;;;;;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:25";="020000022";99;16;5;331;;30;10.888217523;4;73.453172205;87.5;1;3;2;154;100;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/01 15:50:11";="800000085";;;;;;;;;;;;;;;;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:50:11";="800000085";99;0;0;;;;;;;;0;0;0;;;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/02 14:56:29";="590048476";;;;;;;;;;;;;;;;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:29";="590048476";99;0;0;;;;;;;;0;0;0;;;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 15:57:00";="800000028";;;;;;;;;;;;;;;;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:57:00";="800000028";99;0;0;;;;;;;;0;0;0;;;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:15:19";="590780193";;;;;;;;;;;;;;;;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:19";="590780193";99;0;0;;;;;;;;0;0;0;;;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/13 16:01:02";="600100721";;;;;;;;;;;;;;;;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:01:02";="600100721";99;0;0;;;;;;;;0;0;0;;;2022.12;X600100721;13FEB23;16:00:35
