"champ";"statut";"annee";"periode";"date du resultat";"ipe";nat_sej;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;nbcim;nbsej;pctcum;mpcacodm;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:55";="800000093";;;;;;;;;;;;;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:55";="800000093";99;0;0;;;;;;;0;0;;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:35";="600100713";08;1;1;46;100;30;15;4;44;1;1;100;;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:35";="600100713";99;1;1;46;;30;15;4;44;1;1;100;100;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:14";="800000523";;;;;;;;;;;;;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:14";="800000523";99;0;0;;;;;;;0;0;;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:19";="800000036";;;;;;;;;;;;;;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:19";="800000036";99;0;0;;;;;;;0;0;;;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:44:11";="800000077";;;;;;;;;;;;;;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:11";="800000077";99;0;0;;;;;;;0;0;;;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:29:45";="800000069";08;6;4;113;64.204545455;50;10.566371681;3.9203539823;75.637168142;4;4;64.204545455;;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:45";="800000069";07;2;1;32;18.181818182;60;4;2;82;1;1;82.386363636;;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:45";="800000069";04;1;1;31;17.613636364;50;10;2;69;1;1;100;;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:45";="800000069";99;9;6;176;;50;9.2727272727;3.2329545455;75.625;6;6;100;66.666666667;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:44";="590782652";;;;;;;;;;;;;;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:44";="590782652";99;0;0;;;;;;;0;0;;;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:25";="020000022";04;16;5;331;100;30;10.888217523;4;73.453172205;1;3;100;;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:25";="020000022";99;16;5;331;;30;10.888217523;4;73.453172205;1;3;100;87.5;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/01 15:50:12";="800000085";;;;;;;;;;;;;;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:50:12";="800000085";99;0;0;;;;;;;0;0;;;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/02 14:56:29";="590048476";;;;;;;;;;;;;;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:29";="590048476";99;0;0;;;;;;;0;0;;;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 15:57:00";="800000028";;;;;;;;;;;;;;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:57:00";="800000028";99;0;0;;;;;;;0;0;;;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:15:19";="590780193";;;;;;;;;;;;;;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:19";="590780193";99;0;0;;;;;;;0;0;;;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/13 16:01:03";="600100721";;;;;;;;;;;;;;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:01:03";="600100721";99;0;0;;;;;;;0;0;;;2022.12;X600100721;13FEB23;16:00:35
