"champ";"statut";"annee";"periode";"date du resultat";"ipe";type;mnt_gf;mnt_per_t2a;mnt_per_gf;mnt_per_hpr;mnt_du_gf;mnt_du;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";51;1589634;0;1551976.2198;0;1589634;1589634;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";52;0;0;0;0;0;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";99;1589634;0;1551976.2198;;1589634;1589634;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:50";="600100713";51;2322488;0;2597346.615;0;2597346.615;2597346.615;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:50";="600100713";52;584;0;0;0;0;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:50";="600100713";99;2323072;0;2597346.615;;2597346.615;2597346.615;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:37";="800000523";51;20668452;0;23237363.769;0;23237363.769;23237363.769;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:37";="800000523";52;0;0;0;0;0;0;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:37";="800000523";99;20668452;0;23237363.769;;23237363.769;23237363.769;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:36";="800000036";51;1520282;0;1298404.3228;0;1520282;1520282;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:36";="800000036";52;0;0;0;0;0;0;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:36";="800000036";99;1520282;0;1298404.3228;;1520282;1520282;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:44:24";="800000077";51;1102882;0;869530.74179;0;1102882;1102882;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:24";="800000077";52;0;0;0;0;0;0;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:24";="800000077";99;1102882;0;869530.74179;;1102882;1102882;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:30:02";="800000069";51;2969786;0;2188253.3879;0;2969786;2969786;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:30:02";="800000069";52;0;0;0;0;0;0;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:30:02";="800000069";99;2969786;0;2188253.3879;;2969786;2969786;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:43:03";="590782652";51;3756428;0;4026745.3961;0;4026745.3961;4026745.3961;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:43:03";="590782652";52;0;0;0;0;0;0;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:43:03";="590782652";99;3756428;0;4026745.3961;;4026745.3961;4026745.3961;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:41";="020000022";51;1393524;0;2582911.8239;0;2582911.8239;2582911.8239;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:41";="020000022";52;0;0;0;0;0;0;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:41";="020000022";99;1393524;0;2582911.8239;;2582911.8239;2582911.8239;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/01 15:50:27";="800000085";51;1285544;0;1632184.3359;0;1632184.3359;1632184.3359;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:50:27";="800000085";52;0;0;0;0;0;0;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:50:27";="800000085";99;1285544;0;1632184.3359;;1632184.3359;1632184.3359;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/02 14:56:46";="590048476";51;4619266;0;4542248.757;0;4619266;4619266;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:46";="590048476";52;0;0;0;0;0;0;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:46";="590048476";99;4619266;0;4542248.757;;4619266;4619266;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 15:57:20";="800000028";51;1816688;0;1803548.2834;0;1816688;1816688;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:57:20";="800000028";52;0;0;0;0;0;0;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:57:20";="800000028";99;1816688;0;1803548.2834;;1816688;1816688;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:15:51";="590780193";51;4184050;0;4017990.828;0;4184050;4184050;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:51";="590780193";52;53870;0;25857.400097;0;53870;53870;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:51";="590780193";99;4237920;0;4043848.2281;;4237920;4237920;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/13 16:01:21";="600100721";51;2365228;0;1914936.1728;0;2365228;2365228;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:01:21";="600100721";52;0;0;0;0;0;0;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:01:21";="600100721";99;2365228;0;1914936.1728;;2365228;2365228;2022.12;X600100721;13FEB23;16:00:35
