"champ";"statut";"annee";"periode";"date du resultat";"ipe";diags;mpca;nb;nbrapss;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:59";="800000093";R53+0;13;1;2;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:59";="800000093";R53+2;05;1;1;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 11:34:22";="800000523";G8100;13;1;3;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:22";="800000523";G952;05;1;1;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:22";="800000523";R13;13;1;1;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:22";="800000523";R262;05;1;1;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:24";="800000036";R53+0;05;1;2;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:24";="800000036";Y842;17;1;2;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/30 11:42:49";="590782652";V499;11;1;1;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/02/02 14:56:34";="590048476";Y839;09;1;1;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 15:57:05";="800000028";U829+0;03;1;4;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:15:27";="590780193";O800;21;1;1;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:27";="590780193";O811;21;1;1;2022.12;X590780193;06FEB23;14:14:49
