"champ";"statut";"annee";"periode";"date du resultat";"ipe";cretc;COUNT;PERCENT;pctcum;effcum;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";000000000;253;100;100;253;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";000000000;436;99.771167048;99.771167048;436;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";000000010;1;0.2288329519;100;437;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:26";="800000523";000000000;1487;100;100;1487;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:27";="800000036";000000000;172;99.421965318;99.421965318;172;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:27";="800000036";000000001;1;0.5780346821;100;173;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:44:18";="800000077";000000000;106;97.247706422;97.247706422;106;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:18";="800000077";000000001;2;1.8348623853;99.082568807;108;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:18";="800000077";000000010;1;0.9174311927;100;109;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:29:52";="800000069";000000000;273;100;100;273;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:53";="590782652";000000000;894;100;100;894;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:31";="020000022";000000000;250;100;100;250;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/01 15:50:19";="800000085";000000000;193;100;100;193;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/02 14:56:37";="590048476";000000000;1209;100;100;1209;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 15:57:09";="800000028";000000000;278;100;100;278;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:15:35";="590780193";000000000;2679;99.554069119;99.554069119;2679;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:35";="590780193";200000000;12;0.4459308807;100;2691;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/13 16:01:11";="600100721";000000000;309;100;100;309;2022.12;X600100721;13FEB23;16:00:35
