"champ";"statut";"annee";"periode";"date du resultat";"ipe";nolig;n;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";11;253;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";1;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";2;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";3;253;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";4;253;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";12;6052;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";5;195;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";6;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";6b;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";10;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";7;58;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";8;6;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";9;8;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";11;437;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";1;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";2;1;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";3;436;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";4;436;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";12;10380;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";5;350;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";6;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";6b;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";10;;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";7;86;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";8;6;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";9;14;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:26";="800000523";11;1487;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:26";="800000523";1;0;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:26";="800000523";2;0;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:26";="800000523";3;1487;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:26";="800000523";4;1487;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:26";="800000523";12;95791;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:26";="800000523";5;923;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:26";="800000523";6;5;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:26";="800000523";6b;3;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:26";="800000523";10;181;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:26";="800000523";7;559;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:26";="800000523";8;105;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:26";="800000523";9;6;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:27";="800000036";11;173;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:27";="800000036";1;0;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:27";="800000036";2;1;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:27";="800000036";3;172;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:27";="800000036";4;172;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:27";="800000036";12;5262;2022.12;X800000036;26JAN23;14:45:52
