"champ";"statut";"annee";"periode";"date du resultat";"ipe";lig;eff;nbj;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";Nb de séjours;253;6052;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";Nb séjours avec plus d'une séquence;39;2068;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";Nb séjours avec plus d'une sous séquence;128;5054;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";Nb de séquences;301;6052;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";Nb séquences avec plus d'une sous séquence;120;4676;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";Nb séjours avec sexe inconstant;0;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";Nb séjours avec mode d'entrée-provenance inconstant (signalement);0;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";Nb séjours avec mode de sortie-destination inconstant (signalement);0;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";Nb séjours avec durée de séjour inconstante;0;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";Nb séquences avec mode de prise en charge principal inconstant;0;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";Nb séquences avec mode de prise en charge associé inconstant;0;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";Nb séquences avec indice de Karnofsky inconstant;0;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";Nb séquences avec durée de séquence inconstante;0;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";Nb séquences avec score de dépendance aux activités de la vie quotidienne insconstant;0;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";Nb séjours avec incohérence entre une date de fin de séquence et la date de début de séquence suivante;0;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";Nb séjours avec incohérence entre la durée de séjour et la somme des durées des séquences;0;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";Nb séjours avec incohérence entre la durée de séjour et la somme des durées des sous séquences;0;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";Nb séquences avec incohérence entre une date de fin de sous séquence et la date de début de sous séquence suivante;0;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:02";="800000093";Nb séquences avec incohérence entre la durée de séquences et la somme des durées des sous séquences;0;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";Nb de séjours;437;10404;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";Nb séjours avec plus d'une séquence;134;5477;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";Nb séjours avec plus d'une sous séquence;134;5477;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";Nb de séquences;671;10404;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";Nb séquences avec plus d'une sous séquence;0;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";Nb séjours avec sexe inconstant;0;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";Nb séjours avec mode d'entrée-provenance inconstant (signalement);0;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";Nb séjours avec mode de sortie-destination inconstant (signalement);0;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";Nb séjours avec durée de séjour inconstante;0;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";Nb séquences avec mode de prise en charge principal inconstant;0;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";Nb séquences avec mode de prise en charge associé inconstant;0;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";Nb séquences avec indice de Karnofsky inconstant;0;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";Nb séquences avec durée de séquence inconstante;0;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";Nb séquences avec score de dépendance aux activités de la vie quotidienne insconstant;0;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";Nb séjours avec incohérence entre une date de fin de séquence et la date de début de séquence suivante;0;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";Nb séjours avec incohérence entre la durée de séjour et la somme des durées des séquences;0;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";Nb séjours avec incohérence entre la durée de séjour et la somme des durées des sous séquences;0;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";Nb séquences avec incohérence entre une date de fin de sous séquence et la date de début de sous séquence suivante;0;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:42";="600100713";Nb séquences avec incohérence entre la durée de séquences et la somme des durées des sous séquences;0;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:27";="800000523";Nb de séjours;1487;95791;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:27";="800000523";Nb séjours avec plus d'une séquence;630;68939;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:27";="800000523";Nb séjours avec plus d'une sous séquence;1062;91589;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:27";="800000523";Nb de séquences;2715;95791;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:27";="800000523";Nb séquences avec plus d'une sous séquence;1457;82747;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:27";="800000523";Nb séjours avec sexe inconstant;0;0;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:27";="800000523";Nb séjours avec mode d'entrée-provenance inconstant (signalement);0;0;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:27";="800000523";Nb séjours avec mode de sortie-destination inconstant (signalement);0;0;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:27";="800000523";Nb séjours avec durée de séjour inconstante;0;0;2022.12;X800000523;26JAN23;11:33:47
