"champ";"statut";"annee";"periode";"date du resultat";"ipe";tremb2;mtm0;COUNT;PERCENT;count1;percent1;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:57:05";="800000093";100;1;173;69.2;4860;80.556936847;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:05";="800000093";80;0;73;29.2;1129;18.713741091;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:05";="800000093";80f;0;4;1.6;44;0.729322062;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:45";="600100713";100;1;382;92.493946731;9330;90.953402223;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:45";="600100713";80;0;31;7.5060532688;928;9.0465977773;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:31";="800000523";100;1;1487;100;95791;100;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:31";="800000036";100;1;154;89.01734104;5018;95.290543107;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:31";="800000036";80;0;19;10.98265896;248;4.7094568933;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:44:20";="800000077";100;0;1;0.9174311927;41;1.0400811771;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:20";="800000077";100;1;92;84.403669725;3562;90.360223237;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:20";="800000077";80;0;16;14.678899083;339;8.599695586;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:29:56";="800000069";100;1;221;80.952380952;7174;69.969764947;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:56";="800000069";80;0;24;8.7912087912;987;9.6264507949;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:56";="800000069";80f;1;28;10.256410256;2092;20.403784258;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:57";="590782652";100;0;47;5.2572706935;749;4.4251447477;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:57";="590782652";100;1;785;87.807606264;14974;88.467446532;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:57";="590782652";80;0;9;1.0067114094;75;0.4431052818;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:57";="590782652";80;1;53;5.9284116331;1128;6.6643034385;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:34";="020000022";100;1;231;92.4;9934;93.876393876;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:34";="020000022";80;0;1;0.4;2;0.0189000189;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:34";="020000022";80;1;18;7.2;646;6.1047061047;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/01 15:50:22";="800000085";100;1;185;95.85492228;6776;96.428063185;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:50:22";="800000085";80;1;8;4.1450777202;251;3.5719368151;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/02 14:56:41";="590048476";100;0;3;0.2481389578;28;0.1492298673;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:41";="590048476";100;1;1098;90.818858561;17324;92.330650749;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:41";="590048476";80;0;107;8.8502894955;1410;7.5147897458;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:41";="590048476";80;1;1;0.0827129859;1;0.0053296381;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 15:57:13";="800000028";100;1;255;91.726618705;8324;92.560880685;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:57:13";="800000028";80;0;21;7.5539568345;633;7.0388079617;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:57:13";="800000028";80;1;2;0.7194244604;36;0.4003113533;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:15:42";="590780193";100;0;22;0.8323874385;368;1.6309165042;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:42";="590780193";100;1;2530;95.724555429;20754;91.978372629;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:42";="590780193";80;0;90;3.4052213394;1366;6.0538911541;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:42";="590780193";80f;1;1;0.0378357927;76;0.3368197128;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/13 16:01:16";="600100721";100;1;295;95.469255663;7289;95.55584688;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:01:16";="600100721";80;0;14;4.5307443366;339;4.4441531201;2022.12;X600100721;13FEB23;16:00:35
