"champ";"statut";"annee";"periode";"date du resultat";"ipe";ght;nbj;pctj;valobr;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:57:07";="800000093";06;332;5.5067175319;50486.518602;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:07";="800000093";07;419;6.9497429093;71522.930304;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:07";="800000093";08;652;10.814397081;122985.45254;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:07";="800000093";09;464;7.6961353458;95203.618056;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:07";="800000093";10;715;11.859346492;159127.21042;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:07";="800000093";11;375;6.2199369713;88633.153614;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:07";="800000093";12;418;6.9331564107;106522.76348;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:07";="800000093";13;377;6.2531099685;102794.79935;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:07";="800000093";14;372;6.1701774755;108850.57129;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:07";="800000093";15;442;7.3312323768;137926.54265;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:07";="800000093";16;238;3.9475866645;77944.27344;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:07";="800000093";17;218;3.6158566927;72512.91009;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:07";="800000093";18;249;4.1300381489;90041.680068;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:07";="800000093";19;121;2.0069663294;45291.21822;2022.12;X800000093;17JAN23;14:56:34
