"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;nb;nbok;montant;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/26 09:22:48";="600100713";3400890009041;9000904;9000904;CSOTO01;240;240;7549.92;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:48";="600100713";3400890009041;9000904;9000904;NXXXX01;240;240;7549.92;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:48";="600100713";3400890018586;9001858;9001858;CSOTO01;636;636;13580.072;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400890002554;9000255;9000255;NXXXX02;54;54;8019.54;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400890007887;9000788;9000788;CACAL02;70;70;7611.8;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400890009041;9000904;9000904;NSOTO05;480;480;15100.8;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400892993195;9299319;9299319;CURSO01;4;4;228.72;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400892993195;9299319;9299319;NXXXX00;1;1;57.18;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894159032;9415903;9415903;NXXXX02;224;224;20367.64;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894162513;9416251;9416251;COSIM02;450;450;78196.95;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894178941;9417894;9417894;CDEXA01;8;7;142.94;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894228080;9422808;9422808;CVENE01;84;84;4090.47;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894228202;9422820;9422820;CVENE01;14;14;347.4;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894459910;9445991;9445991;NXXXX02;120;120;15760.58;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894501244;9450124;9450124;CDAPA01;750;540;689.22;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/27 16:29:59";="800000069";3400892461458;9246145;9246145;NUBID05;50;50;83.2;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:59";="800000069";3400894078036;9407803;9407803;CRIFA01;58;58;310.88;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:59";="800000069";3400894501244;9450124;9450124;CDAPA01;42;26;36.236;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:37";="020000022";3400890009249;9000924;9000924;CEMAP01;1;0;0;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:37";="020000022";3400890009249;9000924;9000924;CEMPA01;12;12;14.4;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:37";="020000022";3400894501244;9450124;9450124;CDAPA01;130;40;44.92;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/02 14:56:43";="590048476";3400894512820;9451282;9451282;NXXXX00;76;0;0;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 15:57:16";="800000028";3400894060925;9406092;9406092;NIMMU06;20;20;4002.3;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:57:16";="800000028";3400894060925;9406092;9406092;NIMMU07;16;16;3201.84;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:57:16";="800000028";3400894061007;9406100;9406100;NIMMU06;9;9;8733.24;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:57:16";="800000028";3400894061007;9406100;9406100;NIMMU07;10;10;9703.6;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:15:47";="590780193";3400890009942;9000994;9000994;NARIM02;90;90;16539.62;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:47";="590780193";3400890009942;9000994;9000994;NXXXX00;90;90;16539.62;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:47";="590780193";3400890016223;9001622;9001622;CAVAL01;271;271;317645.705;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:47";="590780193";3400894061007;9406100;9406100;NXXXX00;12;12;11598.798;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:47";="590780193";3400894078036;9407803;9407803;CRIFA01;28;28;149.5;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/13 16:01:18";="600100721";3400890004879;9000487;9000487;;3;0;0;2022.12;X600100721;13FEB23;16:00:35
