"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;code13;code1;annee;periode;montant;nb;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";9160461;3400891604610;9160461;2022;1;29817.02;25;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";9318057;3400893180570;9318057;2022;1;2951.76;14;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";9318169;3400893181690;9318169;2022;1;36946;118;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";9318181;3400893181812;9318181;2022;1;344.5;5;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";9319364;3400893193648;9319364;2022;1;0;220;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";9190166;3400891901665;9190166;2022;2;40.04;2;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";9318169;3400893181690;9318169;2022;2;26043.5;90;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";9335038;3400893350386;9335038;2022;2;35.94;1;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";9318057;3400893180570;9318057;2022;3;6325.2;42;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";9318169;3400893181690;9318169;2022;3;306.25;7;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";9274696;3400892746968;9274696;2022;4;111.5;2;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";9318169;3400893181690;9318169;2022;4;5647.25;29;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";9275939;3400892759395;9275939;2022;5;256.76;14;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";9318057;3400893180570;9318057;2022;5;240.96;4;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";9408004;3400894080046;9408004;2022;5;20.96;1;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";9318057;3400893180570;9318057;2022;6;2063.22;15;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";9318169;3400893181690;9318169;2022;6;1274;12;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";9318057;3400893180570;9318057;2022;7;135.54;3;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";9318169;3400893181690;9318169;2022;7;9285.5;36;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";9318181;3400893181812;9318181;2022;7;7771.92;50;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";9326097;3400893260975;9326097;2022;7;4805.1;21;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";9335009;3400893350096;9335009;2022;7;17.97;1;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";9335015;3400893350157;9335015;2022;7;26.95;1;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";9318057;3400893180570;9318057;2022;8;25376.1;77;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";9318169;3400893181690;9318169;2022;8;2376.5;24;2022.12;X800000093;17JAN23;14:56:34
