"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;pu;tarif_resp;nbligne;nb;montant;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";3400892505725;9250572;9250572;441.12;27.567833333;1;16;7057.92;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";3400892505725;9250572;9250572;854.67;27.567833333;1;31;26494.77;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";3400892505725;9250572;9250572;1654.2;27.567833333;1;60;99252;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";3400894165934;9416593;9416593;2.34;71.84775;1;1;2.34;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";3400894228080;9422808;9422808;1056.96;44.04;1;24;25367.04;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";3400894228080;9422808;9422808;1585.44;44.04;1;36;57075.84;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";3400894228080;9422808;9422808;3347.04;44.04;1;76;254375.04;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";3400894324973;9432497;9432497;0;22.039317315;4;120;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/02/13 16:01:19";="600100721";3400891863482;9186348;9186348;;332.01623301;1;0;0.107;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:01:19";="600100721";3400893530658;9353065;9353065;;1.889;1;0;0;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:01:19";="600100721";3400893875612;9387561;9387561;;55.85;1;0;0;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:01:19";="600100721";3400894132646;9413264;9413264;;30.111428571;1;0;0.004;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:01:19";="600100721";3400894139560;9413956;9413956;;93.42;3;0;0;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:01:19";="600100721";3400894228660;9422866;9422866;;106.47;11;0;0;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:01:19";="600100721";3400894294665;9429466;9429466;;26.38026616;1;0;0.001;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:01:19";="600100721";3400894469155;9446915;9446915;;27.566669291;1;0;0;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:01:19";="600100721";3400894494867;9449486;9449486;;5.005;2;0;0;2022.12;X600100721;13FEB23;16:00:35
