"champ";"statut";"annee";"periode";"date du resultat";"ipe";finess;type;moiss;moist;mnt_am;mnt3;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;1;1;106256.87005;106256.87005;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;1;2;109572.01216;3315.1421064;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;1;3;109572.01216;-1.45519E-11;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;1;4;109572.01216;2.910383E-11;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;1;5;109572.01216;2.910383E-11;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;1;6;109572.01216;-1.45519E-11;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;1;7;110310.41898;738.4068208;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;1;8;110310.41898;-4.36557E-11;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;1;9;110310.41898;2.910383E-11;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;1;10;110310.41898;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;1;11;110310.41898;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;1;12;110698.48458;388.065601;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;2;1;0;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;2;2;94929.471921;94929.471921;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;2;3;96052.168815;1122.6968948;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;2;4;96279.971068;227.802253;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;2;5;97434.872876;1154.9018078;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;2;6;97434.872876;1.455192E-11;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;2;7;99088.211625;1653.3387486;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;2;8;99088.211625;-2.91038E-11;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;2;9;99088.211625;4.365575E-11;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;2;10;99088.211625;2.910383E-11;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;2;11;99088.211625;-4.36557E-11;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;2;12;99436.798157;348.586532;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;3;1;0;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;3;2;0;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;3;3;119618.72856;119618.72856;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;3;4;121904.3717;2285.6431478;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;3;5;126219.42291;4315.0512084;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;3;6;126219.42291;-2.91038E-11;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;3;7;127950.52109;1731.0981746;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;3;8;128735.97434;785.4532508;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;3;9;128735.97434;-1.45519E-11;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;3;10;128735.97434;1.455192E-11;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;3;11;128735.97434;-2.91038E-11;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;3;12;129189.13325;453.158916;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;4;1;0;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;4;2;0;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;4;3;0;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;4;4;132958.38264;132958.38264;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;4;5;143460.25282;10501.870178;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;4;6;143460.25282;8.731149E-11;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;4;7;146279.17684;2818.9240212;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;4;8;147460.97795;1181.8011168;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;4;9;147460.97795;5.820766E-11;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;4;10;148368.16335;907.1853998;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;4;11;148368.16335;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;4;12;148890.42884;522.265485;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;5;1;0;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;5;2;0;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;5;3;0;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;5;4;0;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;5;5;95217.938386;95217.938386;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;5;6;95217.938386;1.455192E-11;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;5;7;97431.793073;2213.8546878;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;5;8;98825.499406;1393.7063328;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;5;9;98825.499406;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;5;10;101039.74386;2214.2444534;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;5;11;101039.74386;-2.91038E-11;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;5;12;102197.72129;1157.977426;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;6;1;0;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;6;2;0;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;6;3;0;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;6;4;0;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;6;5;0;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;6;6;83194.071323;83194.071323;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;6;7;87842.535184;4648.4638616;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:11";="800000093";800000093;10;6;8;92614.534855;4771.9996708;2022.12;X800000093;17JAN23;14:56:34
