"champ";"statut";"annee";"periode";"date du resultat";"ipe";gdreg;nocaisse;nocentre;nb;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:57:04";="800000093";08;756;0108;2;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:04";="800000093";08;756;1007;4;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:04";="800000093";10;980;2108;1;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:44";="600100713";08;756;0108;3;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 14:46:30";="800000036";08;756;0010;3;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/02/02 14:56:40";="590048476";91;595;5060;3;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:40";="590048476";99;609;0596;3;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/06 14:15:40";="590780193";10;980;0210;4;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/13 16:01:15";="600100721";01;160;1999;20;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:01:15";="600100721";91;911;5063;1;2022.12;X600100721;13FEB23;16:00:35
