"champ";"statut";"annee";"periode";"date du resultat";"ipe";code_aff;mnt_tot;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";1111124;6.96;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9000060;1.88;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9000719;0.25;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9000884;66.28;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9000924;21.43;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9001091;23.82;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9001907;734.11;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9001912;28.47;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9001914;36.47;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9001917;6.18;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9002032;5.39;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9002130;4.09;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9002188;86.71;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9002190;4.65;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9002192;7.18;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9002194;8.19;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9004577;8.84;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9006889;6.02;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9007297;3.85;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9010572;5.87;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9010690;47.88;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9016830;41.86;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9025036;37.5;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9027058;1.53;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9027650;2.64;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9027756;6.93;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9032208;2.05;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9041532;34.02;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9041986;53.84;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9045205;9.09;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9049887;24.09;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9049947;6.32;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9053699;66.76;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9055161;65.28;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9055178;123.14;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9059437;9;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9061546;2.44;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9063580;3.06;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9064119;41.33;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9065544;6.82;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9067744;1.02;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9073791;10.18;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9075264;1.8;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9080302;3.05;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9081224;40.83;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9083714;34.02;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9083720;384.27;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9084228;17.82;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9086486;5.86;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9087379;12.12;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9087735;4.44;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9088864;31.68;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9090482;11.37;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9090884;45.25;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9090890;112.28;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9092245;80.64;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9093032;5.39;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9093405;7.12;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9094333;2.22;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9100111;3.44;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9100298;9.09;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9101122;37.73;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9102647;5.11;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9103032;68.02;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9108302;8.27;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9109632;6.52;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9125039;7.95;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9126056;21.44;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9128871;33.2;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9131146;40.25;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9131152;94.87;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9134593;73.4;2023.7;X620100057;22AUG23;9:33:11
