"champ";"statut";"annee";"periode";"date du resultat";"ipe";type_test;code;code_c;nbtot;i;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:32:54";="800000051";1;INF-I;INF;104;2;2023.7;X800000051;08AUG23;14:32:53
"mco";"dgf";"2023";"7";"2023/08/08 14:32:54";="800000051";2;INF-I;INF;16;2;2023.7;X800000051;08AUG23;14:32:53
"mco";"dgf";"2023";"7";"2023/08/08 14:34:51";="800000036";1;INF-I;INF;11;2;2023.7;X800000036;08AUG23;14:34:50
"mco";"dgf";"2023";"7";"2023/08/08 14:34:51";="800000036";2;INF-C;INF;53;2;2023.7;X800000036;08AUG23;14:34:50
"mco";"dgf";"2023";"7";"2023/08/08 14:34:51";="800000036";2;INF-I;INF;37;2;2023.7;X800000036;08AUG23;14:34:50
"mco";"dgf";"2023";"7";"2023/08/09 14:39:50";="600100168";1;INF-I;INF;224;2;2023.7;X600100168;09AUG23;14:39:49
"mco";"dgf";"2023";"7";"2023/08/09 14:39:50";="600100168";1;PCR;PCR;224;2;2023.7;X600100168;09AUG23;14:39:49
"mco";"dgf";"2023";"7";"2023/08/09 14:39:50";="600100168";1;PRA;PRA;224;2;2023.7;X600100168;09AUG23;14:39:49
"mco";"dgf";"2023";"7";"2023/08/09 14:39:50";="600100168";2;ADB;ADB;450;2;2023.7;X600100168;09AUG23;14:39:49
"mco";"dgf";"2023";"7";"2023/08/09 14:39:50";="600100168";2;INF-I;INF;450;2;2023.7;X600100168;09AUG23;14:39:49
"mco";"dgf";"2023";"7";"2023/08/18 15:14:31";="020000022";1;INF-I;INF;104;2;2023.7;X020000022;18AUG23;15:14:30
"mco";"dgf";"2023";"7";"2023/08/18 15:14:31";="020000022";2;INF-I;INF;164;2;2023.7;X020000022;18AUG23;15:14:30
"mco";"dgf";"2023";"7";"2023/08/22 09:33:15";="620100057";1;INF-I;INF;3421;2;2023.7;X620100057;22AUG23;9:33:14
"mco";"dgf";"2023";"7";"2023/08/22 09:33:15";="620100057";1;INF-IF;INF;517;2;2023.7;X620100057;22AUG23;9:33:14
"mco";"dgf";"2023";"7";"2023/08/22 09:33:15";="620100057";1;INF-IN;INF;602;2;2023.7;X620100057;22AUG23;9:33:14
"mco";"dgf";"2023";"7";"2023/08/22 09:33:15";="620100057";1;PCR;PCR;3421;2;2023.7;X620100057;22AUG23;9:33:14
"mco";"dgf";"2023";"7";"2023/08/22 09:33:15";="620100057";1;PCR-F;PCR;517;2;2023.7;X620100057;22AUG23;9:33:14
"mco";"dgf";"2023";"7";"2023/08/22 09:33:15";="620100057";1;PCR-N;PCR;602;2;2023.7;X620100057;22AUG23;9:33:14
"mco";"dgf";"2023";"7";"2023/08/22 09:33:15";="620100057";1;PRA;PRA;4540;2;2023.7;X620100057;22AUG23;9:33:14
"mco";"dgf";"2023";"7";"2023/08/22 17:50:44";="590782439";1;MED-C;MED;8;2;2023.7;X590782439;22AUG23;17:50:42
"mco";"dgf";"2023";"7";"2023/08/22 17:50:44";="590782439";1;MED-CF;MED;0;2;2023.7;X590782439;22AUG23;17:50:42
"mco";"dgf";"2023";"7";"2023/08/22 17:50:44";="590782439";1;MED-CN;MED;0;2;2023.7;X590782439;22AUG23;17:50:42
"mco";"dgf";"2023";"7";"2023/08/22 17:50:44";="590782439";1;MED-I;MED;31;2;2023.7;X590782439;22AUG23;17:50:42
"mco";"dgf";"2023";"7";"2023/08/22 17:50:44";="590782439";1;MED-IF;MED;1;2;2023.7;X590782439;22AUG23;17:50:42
"mco";"dgf";"2023";"7";"2023/08/22 17:50:44";="590782439";1;MED-IN;MED;3;2;2023.7;X590782439;22AUG23;17:50:42
"mco";"dgf";"2023";"7";"2023/08/22 17:50:44";="590782439";1;PRA;PRA;39;2;2023.7;X590782439;22AUG23;17:50:42
"mco";"dgf";"2023";"7";"2023/08/22 17:50:44";="590782439";2;INF-I;INF;880;2;2023.7;X590782439;22AUG23;17:50:42
"mco";"dgf";"2023";"7";"2023/08/24 11:51:23";="620103440";1;PCR;PCR;2949;2;2023.7;X620103440;24AUG23;11:51:22
"mco";"dgf";"2023";"7";"2023/08/24 11:51:23";="620103440";1;PCR-F;PCR;600;2;2023.7;X620103440;24AUG23;11:51:22
"mco";"dgf";"2023";"7";"2023/08/24 11:51:23";="620103440";1;PCR-N;PCR;1034;2;2023.7;X620103440;24AUG23;11:51:22
"mco";"dgf";"2023";"7";"2023/08/24 11:51:23";="620103440";1;PRA;PRA;1080;2;2023.7;X620103440;24AUG23;11:51:22
"mco";"dgf";"2023";"7";"2023/08/24 11:51:23";="620103440";2;ADB;ADB;1440;2;2023.7;X620103440;24AUG23;11:51:22
"mco";"dgf";"2023";"7";"2023/08/24 15:08:18";="020000048";1;INF-I;INF;90;2;2023.7;X020000048;24AUG23;15:08:16
"mco";"dgf";"2023";"7";"2023/08/25 10:18:46";="620003376";1;INF-I;INF;2313;2;2023.7;X620003376;25AUG23;10:18:45
"mco";"dgf";"2023";"7";"2023/08/25 10:18:46";="620003376";1;INF-IF;INF;304;2;2023.7;X620003376;25AUG23;10:18:45
"mco";"dgf";"2023";"7";"2023/08/25 10:18:46";="620003376";1;INF-IN;INF;475;2;2023.7;X620003376;25AUG23;10:18:45
"mco";"dgf";"2023";"7";"2023/08/25 10:18:46";="620003376";1;PCR;PCR;2313;2;2023.7;X620003376;25AUG23;10:18:45
"mco";"dgf";"2023";"7";"2023/08/25 10:18:46";="620003376";1;PCR-F;PCR;304;2;2023.7;X620003376;25AUG23;10:18:45
"mco";"dgf";"2023";"7";"2023/08/25 10:18:46";="620003376";1;PCR-N;PCR;475;2;2023.7;X620003376;25AUG23;10:18:45
"mco";"dgf";"2023";"7";"2023/08/25 10:18:46";="620003376";1;PRA;PRA;2973;2;2023.7;X620003376;25AUG23;10:18:45
"mco";"dgf";"2023";"7";"2023/08/25 12:18:39";="620101337";1;INF-I;INF;2552;2;2023.7;X620101337;25AUG23;12:18:38
"mco";"dgf";"2023";"7";"2023/08/25 12:18:39";="620101337";1;INF-IF;INF;282;2;2023.7;X620101337;25AUG23;12:18:38
"mco";"dgf";"2023";"7";"2023/08/25 12:18:39";="620101337";1;INF-IN;INF;771;2;2023.7;X620101337;25AUG23;12:18:38
"mco";"dgf";"2023";"7";"2023/08/25 12:18:39";="620101337";1;PCR;PCR;2552;2;2023.7;X620101337;25AUG23;12:18:38
"mco";"dgf";"2023";"7";"2023/08/25 12:18:39";="620101337";1;PCR-F;PCR;282;2;2023.7;X620101337;25AUG23;12:18:38
"mco";"dgf";"2023";"7";"2023/08/25 12:18:39";="620101337";1;PCR-N;PCR;771;2;2023.7;X620101337;25AUG23;12:18:38
"mco";"dgf";"2023";"7";"2023/08/25 14:52:54";="800000077";1;INF-I;INF;249;2;2023.7;X800000077;25AUG23;14:52:53
"mco";"dgf";"2023";"7";"2023/08/25 14:52:54";="800000077";1;PCR;PCR;249;2;2023.7;X800000077;25AUG23;14:52:53
"mco";"dgf";"2023";"7";"2023/08/25 14:52:54";="800000077";1;PRA;PRA;249;2;2023.7;X800000077;25AUG23;14:52:53
"mco";"dgf";"2023";"7";"2023/08/25 14:52:54";="800000077";2;ADB;ADB;73;2;2023.7;X800000077;25AUG23;14:52:53
"mco";"dgf";"2023";"7";"2023/08/25 14:52:54";="800000077";2;INF-I;INF;73;2;2023.7;X800000077;25AUG23;14:52:53
"mco";"dgf";"2023";"7";"2023/08/28 12:45:50";="600100713";1;INF-I;INF;5452;2;2023.7;X600100713;28AUG23;12:45:49
"mco";"dgf";"2023";"7";"2023/08/28 12:45:50";="600100713";1;INF-IF;INF;712;2;2023.7;X600100713;28AUG23;12:45:49
"mco";"dgf";"2023";"7";"2023/08/28 12:45:50";="600100713";1;PCR;PCR;4881;2;2023.7;X600100713;28AUG23;12:45:49
"mco";"dgf";"2023";"7";"2023/08/28 12:45:50";="600100713";1;PCR-F;PCR;567;2;2023.7;X600100713;28AUG23;12:45:49
"mco";"dgf";"2023";"7";"2023/08/28 12:45:50";="600100713";1;PCR-N;PCR;2063;2;2023.7;X600100713;28AUG23;12:45:49
"mco";"dgf";"2023";"7";"2023/08/28 12:45:50";="600100713";1;PRA;PRA;7511;2;2023.7;X600100713;28AUG23;12:45:49
"mco";"dgf";"2023";"7";"2023/08/28 12:45:50";="600100713";2;INF-IF;INF;8380;2;2023.7;X600100713;28AUG23;12:45:49
"mco";"dgf";"2023";"7";"2023/08/28 12:46:11";="600100648";1;INF-I;INF;600;2;2023.7;X600100648;28AUG23;12:46:10
"mco";"dgf";"2023";"7";"2023/08/28 12:46:11";="600100648";1;INF-IF;INF;99;2;2023.7;X600100648;28AUG23;12:46:10
"mco";"dgf";"2023";"7";"2023/08/28 12:46:11";="600100648";2;INF-I;INF;2225;2;2023.7;X600100648;28AUG23;12:46:10
"mco";"dgf";"2023";"7";"2023/08/28 12:51:10";="600100572";1;INF-I;INF;76;2;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 14:07:21";="020000063";1;INF-I;INF;3928;2;2023.7;X020000063;28AUG23;14:07:19
"mco";"dgf";"2023";"7";"2023/08/28 14:07:21";="020000063";1;INF-IF;INF;431;2;2023.7;X020000063;28AUG23;14:07:19
"mco";"dgf";"2023";"7";"2023/08/28 14:07:21";="020000063";1;PCR;PCR;4939;2;2023.7;X020000063;28AUG23;14:07:19
"mco";"dgf";"2023";"7";"2023/08/28 14:07:21";="020000063";1;PCR-F;PCR;504;2;2023.7;X020000063;28AUG23;14:07:19
"mco";"dgf";"2023";"7";"2023/08/28 14:07:21";="020000063";1;PRA;PRA;5443;2;2023.7;X020000063;28AUG23;14:07:19
"mco";"dgf";"2023";"7";"2023/08/28 14:07:21";="020000063";2;ADB;ADB;3720;2;2023.7;X020000063;28AUG23;14:07:19
"mco";"dgf";"2023";"7";"2023/08/28 14:07:21";="020000063";2;INF-I;INF;3720;2;2023.7;X020000063;28AUG23;14:07:19
"mco";"dgf";"2023";"7";"2023/08/28 15:40:25";="020004495";1;PCR;PCR;385;2;2023.7;X020004495;28AUG23;15:40:23
"mco";"dgf";"2023";"7";"2023/08/28 15:40:25";="020004495";2;INF-I;INF;1525;2;2023.7;X020004495;28AUG23;15:40:23
"mco";"dgf";"2023";"7";"2023/08/29 09:20:18";="020000055";1;PCR;PCR;81;2;2023.7;X020000055;29AUG23;9:20:17
"mco";"dgf";"2023";"7";"2023/08/29 10:48:41";="600101984";1;INF-I;INF;4925;2;2023.7;X600101984;29AUG23;10:48:40
"mco";"dgf";"2023";"7";"2023/08/29 10:48:41";="600101984";1;PCR;PCR;4925;2;2023.7;X600101984;29AUG23;10:48:40
"mco";"dgf";"2023";"7";"2023/08/29 10:48:41";="600101984";1;PRA;PRA;4925;2;2023.7;X600101984;29AUG23;10:48:40
"mco";"dgf";"2023";"7";"2023/08/29 10:48:41";="600101984";2;INF-I;INF;3317;2;2023.7;X600101984;29AUG23;10:48:40
"mco";"dgf";"2023";"7";"2023/08/29 11:10:49";="590780284";1;MED-I;MED;2965;2;2023.7;X590780284;29AUG23;11:10:48
"mco";"dgf";"2023";"7";"2023/08/29 11:10:49";="590780284";1;PCR;PCR;2965;2;2023.7;X590780284;29AUG23;11:10:48
"mco";"dgf";"2023";"7";"2023/08/29 11:10:49";="590780284";2;ADB;ADB;791;2;2023.7;X590780284;29AUG23;11:10:48
"mco";"dgf";"2023";"7";"2023/08/29 11:10:49";="590780284";2;INF-I;INF;791;2;2023.7;X590780284;29AUG23;11:10:48
"mco";"dgf";"2023";"7";"2023/08/29 11:10:49";="590780284";2;MED-I;MED;791;2;2023.7;X590780284;29AUG23;11:10:48
"mco";"dgf";"2023";"7";"2023/08/29 11:12:01";="590797353";1;MED-I;MED;3575;2;2023.7;X590797353;29AUG23;11:12:00
"mco";"dgf";"2023";"7";"2023/08/29 11:12:01";="590797353";1;PCR;PCR;3575;2;2023.7;X590797353;29AUG23;11:12:00
"mco";"dgf";"2023";"7";"2023/08/29 11:12:01";="590797353";2;ADB;ADB;649;2;2023.7;X590797353;29AUG23;11:12:00
